"Continent","IE","Chrome","Firefox","Safari","Android","iPhone","Opera","UC Browser","Nokia","NetFront","Dolfin","BlackBerry","360 Safe Browser","360","Maxthon","QQ Browser","SeaMonkey","Comodo Dragon","Flock","Pale Moon","iPod Touch","Sony PS3","Obigo","Iron","Kindle"
Venezuela ,24.44,44.56,26.43,1.43,0,0,1.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Israel ,41.56,38.38,11.41,2.59,2.22,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Singapore ,26.84,24.48,18.87,12.4,5.09,9.02,1.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Portugal ,34.95,36.32,20.92,4.46,0,0,1.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bulgaria ,21.68,30.54,39.78,0,0,0,5.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Switzerland ,33.1,15.63,27.16,15.77,1.93,3.99,1.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Finland ,21.19,23.39,37.72,7.59,2.09,2.17,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Arab Emirates ,33.61,31.17,13.75,6.37,1.73,1.87,2.2,1.51,5.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Denmark ,38.7,25.6,15.51,13.5,1.81,3.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hong Kong ,40.52,21.78,15.85,9.33,6.43,3.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bangladesh ,4.21,15.83,47.78,0,0,0,14.22,2.96,4.15,0,0,0,0,0,0,0,1.76,1.56,1.49,1.4,0,0,0,0,0
Norway ,31.11,26.98,19.15,12.91,2.01,2.4,4.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ireland ,27.74,33.57,18.74,8.42,3.46,4.52,1.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austria ,28.33,18.37,36.84,7.76,2.97,2.13,2.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Africa ,42.27,18.29,17.92,6.42,2.19,1.2,9.07,0,1.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Morocco ,15.57,39.61,36.17,1.47,0,0,3.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Croatia ,17.92,30.92,41.02,2.27,1.59,1.33,4.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Czech Republic ,25.66,28.72,33.2,2.52,0,0,7.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine ,12.98,26.48,26.42,1.77,0,0,30.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paraguay ,19.52,41.39,30.84,1.14,1.91,0,2.31,0,1.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Zealand ,30.34,29.38,20.56,12.32,1.8,2.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tunisia ,9.46,58.35,25.18,1.3,0,0,2.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
