"Continent","IE","Firefox","Chrome","Safari","BlackBerry","Android","iPhone","Opera","Nokia","Maxthon","UC Browser","NetFront","Sony PS3","iPod Touch","Bolt","Mozilla","Windows Media Player"
Saint Vincent and the Grenadines ,41.24,30.13,22.05,3.55,0,0,0,1.93,0,0,0,0,0,0,0,0,0
Monaco ,45.82,21.15,9.62,18.64,0,0,0,2.81,0,0,0,0,0,0,0,0,0
Benin ,53.15,33.51,7.66,0,0,0,0,3.36,0,0,0,0,0,0,0,0,0
Dominica ,43.32,26.98,21.02,5.73,0,0,0,2.2,0,0,0,0,0,0,0,0,0
British Virgin Islands ,57.53,16.8,13.46,9.85,0,0,0,0,0,0,0,0,0,0,0,0,0
Burkina Faso ,54.15,29.33,9.08,1.65,0,0,0,4.2,0,0,0,0,0,0,0,0,0
Mauritania ,43.85,30.92,20.05,1.39,0,0,0,1.97,1.28,0,0,0,0,0,0,0,0
Mali ,50.4,33.01,8.98,2.57,0,0,0,1.68,1.73,0,0,0,0,0,0,0,0
Kyrgyz Republic ,33.35,19.64,10.36,2.24,0,0,0,32.28,0,0,0,0,0,0,0,0,0
Congo (Democratic Republic of the),48.79,32.87,7.74,2.06,0,0,0,5.03,1.94,0,0,0,0,0,0,0,0
Rwanda ,32.34,44.48,10.08,4.17,0,0,0,6.41,1.5,0,0,0,0,0,0,0,0
Papua New Guinea ,60.58,21.68,9.91,2.38,0,0,0,2.68,1.52,0,0,0,0,0,0,0,0
Seychelles ,46.17,31.31,12.41,4.78,0,0,0,3.06,0,0,0,0,0,0,0,0,0
Turks and Caicos Islands ,45.68,20.5,19.94,10.35,0,0,0,0,0,0,0,0,0,0,0,0,0
Bhutan ,41.58,32.11,19.81,2.25,0,0,0,3.02,0,0,0,0,0,0,0,0,0
Lesotho ,61.29,21.1,7.46,1.11,0,0,0,7.02,1.06,0,0,0,0,0,0,0,0
Greenland ,60.13,19.22,7.94,9.79,0,0,0,0,0,0,0,0,0,0,0,0,0
Gabon ,47.43,27.79,7.81,3.23,0,0,0,8.16,2.82,0,0,1.11,0,0,0,0,0
Gambia ,31.73,52.66,7.41,2.25,0,0,0,3.79,1.14,0,0,0,0,0,0,0,0
Togo ,49.19,41.25,3.88,1.29,0,0,0,2.35,1.27,0,0,0,0,0,0,0,0
San Marino ,46.2,29.78,13.22,8.94,0,0,0,0,0,0,0,0,0,0,0,0,0
Anguilla ,58.21,15.16,16.74,7.65,0,0,0,0,0,0,0,0,0,0,0,0,0
Tajikistan ,33.43,19.2,10.85,1.16,0,0,0,33.35,0,0,0,0,0,0,0,0,0
Swaziland ,54.87,17.74,8.95,1.58,0,0,0,13.7,1.82,0,0,0,0,0,0,0,0
Equatorial Guinea ,68.78,14.83,5.57,1.93,0,0,0,5.8,1.77,0,0,0,0,0,0,0,0
Niger ,48.6,34.24,8.76,2.02,0,0,0,4.39,0,0,0,0,0,0,0,0,0
Liberia ,52.56,23.64,6.42,3.87,0,0,0,9.87,2.08,0,0,0,0,0,0,0,0
Turkmenistan ,35.99,17.56,7.02,0,0,0,0,34.68,1.88,0,0,0,0,0,0,0,0
Somalia ,59.93,11.1,2.73,0,0,0,0,24.61,1.2,0,0,0,0,0,0,0,0
Sierra Leone ,50.17,35.61,6.86,0,0,0,0,4.85,0,0,0,0,0,0,0,0,0
Saint Pierre and Miquelon ,44.84,38.64,11.37,3.86,0,0,0,0,0,0,0,0,0,0,0,0,0
American Samoa ,41.96,29.82,14.61,12.06,0,0,0,0,0,0,0,0,0,0,0,0,0
Vanuatu ,46.79,34.47,11.8,5.24,0,0,0,0,0,0,0,0,0,0,0,0,0
Micronesia ,52.23,29.33,10.62,4.91,0,0,0,1.11,0,0,0,0,0,0,0,0,1.28
Solomon Islands ,52.26,16.66,5.85,3.66,0,0,0,16.94,2.45,0,0,0,0,0,0,0,0
Timor-Leste ,33.61,42.85,7.36,5.11,0,0,0,2.41,7.44,0,0,0,0,0,0,0,0
Eritrea ,51.58,42.71,3.3,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0
Samoa ,52.03,30.28,9.84,4.22,0,0,0,1.92,0,0,0,0,0,0,0,0,0
Burundi ,49.5,35.1,6.95,3.1,0,0,0,3.72,0,0,0,0,0,0,0,0,0
