"Continent","IE","Firefox","Safari","Chrome","BlackBerry","iPhone","Android","Opera","Nokia","Maxthon","UC Browser","NetFront","Bolt","Motorola Internet Browser","Windows Media Player","Sony PS3","Camino","Samsung","Mozilla"
Martinique ,49.07,31.81,4.98,11.02,0,0,0,1.61,0,0,0,0,0,0,0,0,0,0,0
Guadeloupe ,43.6,33.73,6.75,13.39,0,0,0,1.15,0,0,0,0,0,0,0,0,0,0,0
Grenada ,49.17,27.05,5.01,15.63,0,0,0,1.7,0,0,0,0,0,0,0,0,0,0,0
Guernsey ,54.88,19.01,11.38,9.4,0,1.01,0,2.67,0,0,0,0,0,0,0,0,0,0,0
Suriname ,60.43,21.71,1.22,8.64,0,0,0,4.66,1.47,0,0,0,0,0,0,0,0,0,0
 ,58.82,32.35,2.94,9.22,0,5.88,0,3.3,0,0,0,0,0,0,0,0,0,0,0
Fiji ,47.1,36.17,2.7,11.83,0,0,0,1.28,0,0,0,0,0,0,0,0,0,0,0
Haiti ,65.43,19.38,4.18,8,0,0,0,1.2,0,0,0,0,0,0,0,0,0,0,0
Saint Lucia ,50.12,30.12,2.93,14.62,0,0,0,1.32,0,0,0,0,0,0,0,0,0,0,0
Andorra ,57.5,20.88,6.78,12.01,0,0,0,1.68,0,0,0,0,0,0,0,0,0,0,0
Cayman Islands ,50.41,25.73,10.36,10.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cuba ,38.43,54.16,0,3.58,0,0,0,2.38,0,0,0,0,0,0,0,0,0,0,0
Madagascar ,27.63,55.93,2.01,8.55,0,0,0,4.64,0,0,0,0,0,0,0,0,0,0,0
Zambia ,44.83,29.81,1.93,7.2,0,0,0,13.56,1.06,0,0,0,0,0,0,0,0,0,0
Afghanistan ,64.16,20.59,1.88,6.71,0,0,0,4.62,0,0,0,0,0,0,0,0,0,0,0
Guyana ,48.33,34.84,1.74,11.54,0,0,0,2.08,0,0,0,0,0,0,0,0,0,0,0
Uzbekistan ,23.85,26.37,1.04,7.67,0,0,0,38.25,1.33,0,0,0,0,0,0,0,0,0,0
Zimbabwe ,42.27,34.36,2.51,9.35,0,0,0,7.97,2.54,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda ,52.67,27.15,5.36,12.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Djibouti ,69.48,16.57,1.56,8.82,0,0,0,1.87,0,0,0,0,0,0,0,0,0,0,0
Cape Verde ,65.01,22.71,1.5,9.23,0,0,0,1.06,0,0,0,0,0,0,0,0,0,0,0
French Polynesia ,35.09,43.13,11.24,8.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Kitts and Nevis ,48.78,28.01,6.91,13.97,0,0,0,1.18,0,0,0,0,0,0,0,0,0,0,0
Belize ,37.54,42.41,2.64,9.79,0,0,0,2.76,0,0,0,0,0,1.9,0,0,0,0,0
New Caledonia ,39.7,36.38,8.52,12.67,0,0,0,1.3,0,0,0,0,0,0,0,0,0,0,0
Benin ,58.66,27.33,0,4.54,0,0,0,8.17,0,0,0,0,0,0,0,0,0,0,0
Northern Mariana Islands ,54.49,25.93,4.94,11.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
British Virgin Islands ,60.28,20.44,8.76,8.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
French Guiana ,40.9,45.54,2.98,9.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gibraltar ,53.34,27.74,5.4,9.97,0,0,0,1.02,0,0,0,0,0,0,0,0,0,0,0
Burkina Faso ,56.47,29.91,1.24,5.83,0,0,0,4.69,1.07,0,0,0,0,0,0,0,0,0,0
