"Continent","IE","Chrome","Firefox","Safari","Android","iPhone","Opera","Nokia","UC Browser","NetFront","Dolfin","BlackBerry","Maxthon","TheWorld","SeaMonkey","Flock","Comodo Dragon","iPod Touch","Samsung","Obigo","Iron","RockMelt"
French Polynesia ,25.43,19.65,38.6,13.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Vincent and the Grenadines ,21.69,45.9,25.82,3.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kyrgyz Republic ,15.02,28.98,14.97,2.51,0,0,34.99,1.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andorra ,35.3,27.27,21.23,11.28,1.85,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belize ,26.86,26.46,35.58,5.77,1.38,1.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cape Verde ,46.35,25.79,22.03,2.7,0,0,1.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Caledonia ,29.95,21.73,31.81,12.89,0,0,1.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Somalia ,13.17,9.99,13.03,0,0,0,55.12,3.82,2.97,0,0,0,0,0,0,0,0,0,0,0,0,0
Rwanda ,20.55,20.66,41.89,3.75,0,0,9.65,1.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Benin ,18.79,31.69,38.14,1.34,0,0,6.93,1.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tajikistan ,13.52,25.73,14.83,1.51,1.01,0,36.78,5.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
French Guiana ,30.14,26.12,32.87,5.25,2.15,0,1.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Togo ,20.95,10.31,60.82,1.93,0,0,2.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bhutan ,16.48,37.87,36.36,2.29,0,0,3.67,1.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Kitts and Nevis ,29.72,33.12,24.03,10.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda ,32.13,31.74,21.02,9.98,0,0,1.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gibraltar ,35.02,25.33,20.97,13.35,1.01,1.52,1.06,0,0,0,0,0,0,0,0,0,0,1.21,0,0,0,0
Northern Mariana Islands ,36.91,35.15,16.74,4.19,2.93,0,0,0,0,0,0,0,1.83,0,0,0,0,0,0,0,0,0
Monaco ,33.63,15.82,24.49,20,0,1.43,2.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gabon ,40.28,13,28.29,5.22,0,0,7.76,1.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dominica ,34.44,33.94,22.31,5.87,0,0,1.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Burkina Faso ,28.62,15.08,33.3,2.24,0,0,8.12,5.09,0,2.27,0,0,0,0,0,0,0,0,1.3,0,0,0
Mauritania ,18.54,34.47,30.75,1.93,0,0,7.47,3.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greenland ,62.66,10.26,12.88,9.68,1.26,1,1.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Liechtenstein ,47.51,12.07,22.09,12.78,1.21,2.03,1.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Swaziland ,29.21,7.06,10.54,1.74,0,0,46.32,2.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Djibouti ,31.13,26.53,29.95,1.86,0,0,7.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gambia ,16.38,14.35,46.96,3.31,1.52,1.57,9.63,2.47,1.2,1.01,0,0,0,0,0,0,0,0,0,0,0,0
San Marino ,38.18,21.77,25.85,11.18,0,1.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Papua New Guinea ,34.1,7.87,11.74,3.19,1.28,0,31.14,4.77,1.03,0,0,0,0,0,0,0,0,0,0,3.29,0,0
British Virgin Islands ,44.09,20.41,16.66,13.83,0,1.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Congo (Democratic Republic of the),35.49,15.2,30.51,3.01,0,0,7.16,3.71,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0
Seychelles ,30.99,18.66,34.75,4.35,0,0,5.75,2.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Turks and Caicos Islands ,37.53,28.02,17.22,13.24,0,1.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lesotho ,51.8,10.28,16.33,1.93,0,0,13.94,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mali ,31.79,17.04,32.87,3.91,1.18,0,3.54,4.14,0,1.2,0,0,0,0,0,0,0,0,0,0,0,0
Holy See (Vatican City State) ,88,3.92,7.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anguilla ,40.04,31.55,14.17,9.84,0,0,1.15,0,0,0,0,1.12,0,0,0,0,0,0,0,0,0,0
