"Continent","IE","Firefox","Chrome","Safari","Android","iPhone","BlackBerry","Opera","Nokia","Maxthon","UC Browser","NetFront","iPod Touch","Bolt","Sony PS3","Windows Media Player","Mozilla"
Antigua and Barbuda ,40.39,23.8,22.73,8.85,0,0,0,2.27,0,0,0,0,0,0,0,0,0
Northern Mariana Islands ,46.2,20.39,27.29,2.58,1.64,0,0,0,0,0,0,0,0,0,0,0,0
French Guiana ,37.86,36.39,19.76,3.89,0,0,0,0,0,0,0,0,0,0,0,0,0
Djibouti ,53.54,25.47,14.65,1.87,0,0,0,2.74,0,0,0,0,0,0,0,0,0
Gibraltar ,46.28,23.65,19.4,7.87,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Vincent and the Grenadines ,37.98,30.51,25.2,3.09,0,0,0,1.73,0,0,0,0,0,0,0,0,0
Benin ,40.42,39.12,8.8,1.04,0,0,0,9.14,0,0,0,0,0,0,0,0,0
Dominica ,38.23,27.13,26.24,5.47,0,0,0,1.84,0,0,0,0,0,0,0,0,0
Liechtenstein ,40.01,34.12,8.13,14.92,0,0,0,1.31,0,0,0,0,0,0,0,0,0
Monaco ,42.11,22.83,13.18,19.9,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauritania ,39.02,31.27,23.81,1.11,0,0,0,2.42,1.86,0,0,0,0,0,0,0,0
Kyrgyz Republic ,30.22,21.54,12.24,1.89,0,0,0,31.67,0,0,0,0,0,0,0,0,0
Papua New Guinea ,65.28,19.13,8.34,3.98,0,0,0,2.37,0,0,0,0,0,0,0,0,0
Turks and Caicos Islands ,48.41,20.46,18.3,9.32,0,0,0,0,0,0,0,0,0,0,0,0,0
British Virgin Islands ,55.03,18.86,13.97,9.58,0,0,0,0,0,0,0,0,0,0,0,0,0
Mali ,46.57,33.97,11.11,2.71,0,0,0,1.6,1.77,0,0,0,0,0,0,0,0
Seychelles ,44.07,30.85,15.77,4.15,0,0,0,3.27,0,0,0,0,0,0,0,0,0
Lesotho ,63.31,20.65,6.35,1.49,0,0,0,5.92,1.08,0,0,0,0,0,0,0,0
Rwanda ,30.42,43.95,10.95,3.76,0,0,0,7.69,1.69,0,0,0,0,0,0,0,0
Burkina Faso ,48.87,34.45,8.92,1.75,0,0,0,3.97,0,0,0,0,0,0,0,0,0
Congo (Democratic Republic of the),45.77,33.4,9.66,2.62,0,0,0,4.26,2.87,0,0,0,0,0,0,0,0
Bhutan ,35.63,33.85,23.2,1.99,0,0,0,3.56,0,0,0,0,0,0,0,0,0
Greenland ,59.44,19.49,8.3,9.84,0,0,0,0,0,0,0,0,0,0,0,0,0
Gambia ,27.81,53.07,7.82,1.67,0,0,0,6.9,1.23,0,0,0,0,0,0,0,0
Gabon ,47.35,27.4,11.94,3.48,0,0,0,6.78,0,0,0,0,0,0,0,0,0
Togo ,42.08,47.43,6.16,1.47,0,0,0,1.66,0,0,0,0,0,0,0,0,0
