"Continent","IE","Firefox","Chrome","Safari","Android","iPhone","BlackBerry","Opera","Nokia","Maxthon","UC Browser","NetFront","iPod Touch","Sony PS3","Bolt","Windows Media Player","Mozilla"
Guyana ,42.24,32.64,19.85,1.83,0,0,0,1.93,0,0,0,0,0,0,0,0,0
French Polynesia ,31.07,41.76,14.1,10.77,0,0,0,0,0,0,0,0,0,0,0,0,0
Madagascar ,21.22,58.63,13.55,2.74,0,0,0,2.43,0,0,0,0,0,0,0,0,0
Andorra ,50.95,20.59,16.31,9.23,0,0,0,0,0,0,0,0,0,0,0,0,0
Libya ,41.91,18.66,24.45,0,0,0,0,6.82,6.11,0,0,0,0,0,0,0,0
Zambia ,35.27,28.85,8.35,2.33,0,0,0,20.95,2.2,0,0,0,0,0,0,0,0
Cape Verde ,59.48,21.11,16.03,1.75,0,0,0,1.07,0,0,0,0,0,0,0,0,0
Grenada ,38.69,26.79,26.59,5.48,0,0,0,1.4,0,0,0,0,0,0,0,0,0
Malawi ,45.66,22.59,6.04,1.97,0,0,0,19.32,2.41,0,0,0,0,0,0,0,0
Antigua and Barbuda ,40.84,29.43,18.33,7.75,0,0,0,1.42,0,0,0,0,0,0,0,0,0
Saint Kitts and Nevis ,42.77,27.08,20.49,7.53,0,0,0,1.23,0,0,0,0,0,0,0,0,0
New Caledonia ,35.7,32.76,18.09,10.62,0,0,0,1.65,0,0,0,0,0,0,0,0,0
Northern Mariana Islands ,48.73,20.76,23.58,3.53,1.61,0,0,0,0,0,0,0,0,0,0,0,0
Djibouti ,54.64,25.43,12.49,1.48,0,0,0,3.58,0,0,0,0,0,0,0,0,0
Gibraltar ,48.29,23.24,18.08,7.1,0,0,0,1.05,0,0,0,0,0,0,0,0,0
French Guiana ,37.04,38.8,17.99,4.01,0,0,0,0,0,0,0,0,0,0,0,0,0
Benin ,44.15,41.24,7.8,0,0,0,0,5.06,0,0,0,0,0,0,0,0,0
Seychelles ,37.98,35.78,19,3.46,0,0,0,2.72,0,0,0,0,0,0,0,0,0
Liechtenstein ,41.93,34.28,7.27,13.96,0,0,0,1.14,0,0,0,0,0,0,0,0,0
Saint Vincent and the Grenadines ,39.19,28.75,24.99,3.43,0,0,0,1.59,0,0,0,0,0,0,0,0,0
Monaco ,43.12,22.9,11.66,19.48,0,0,0,1.26,0,0,0,0,0,0,0,0,0
Dominica ,39.16,26.25,24.06,7.57,0,0,0,1.98,0,0,0,0,0,0,0,0,0
Mali ,52.06,31.08,9.76,2.78,0,0,0,1.44,1.27,0,0,0,0,0,0,0,0
Papua New Guinea ,64.81,18.48,7.18,4.06,0,0,0,2.67,1.26,0,0,0,0,0,0,0,0
Mauritania ,41.27,31.13,22.38,1.03,0,0,0,2.02,1.7,0,0,0,0,0,0,0,0
Burkina Faso ,49.25,33.94,9.27,1.65,0,0,0,4.2,0,0,0,0,0,0,0,0,0
Kyrgyz Republic ,29.66,20.25,12.79,2.16,0,0,0,32.92,0,0,0,0,0,0,0,0,0
Congo (Democratic Republic of the),47.65,32.35,9.88,2.54,0,0,0,4.45,2.11,0,0,0,0,0,0,0,0
Greenland ,60.24,17.33,8.43,11.05,0,0,0,1.06,0,0,0,0,0,0,0,0,0
Rwanda ,34.02,43.08,11.35,3.36,0,0,0,5.94,1.29,0,0,0,0,0,0,0,0
British Virgin Islands ,54.72,18.7,13.11,11.1,0,0,0,0,0,0,0,0,0,0,0,0,0
Lesotho ,63.03,20.75,5.9,2.22,0,0,0,5.81,1.12,0,0,0,0,0,0,0,0
Bhutan ,39.54,33.75,20.49,1.74,0,0,0,3.1,0,0,0,0,0,0,0,0,0
Gambia ,27.07,55.14,7.37,2.2,0,0,0,5.44,1.04,0,0,0,0,0,0,0,0
Turks and Caicos Islands ,44.2,21.37,18.64,11.83,0,0,0,1.01,0,0,0,0,0,0,0,0,0
Gabon ,48.34,27.82,11.81,3.13,0,0,0,6.4,0,0,0,0,0,0,0,0,0
Togo ,44.91,44.96,6.54,1.15,0,0,0,1.5,0,0,0,0,0,0,0,0,0
San Marino ,43.06,31.67,15.07,8.77,0,0,0,0,0,0,0,0,0,0,0,0,0
Swaziland ,55.8,14.94,10.09,1.88,0,0,0,14.38,1.91,0,0,0,0,0,0,0,0
