"Continent","IE","Firefox","Safari","Chrome","Opera","Maxthon","Nokia","iPhone","NetFront","Mozilla","Flock","Windows Media Player"
Solomon Islands ,69.76,19.91,4.73,4.01,0,0,0,0,0,0,0,0
Burundi ,51.94,38.71,2.89,2.94,1.47,0,0,0,0,0,0,0
Holy See (Vatican City State) ,65.42,28.41,1.48,4.33,0,0,0,0,0,0,0,0
Guinea ,61.5,30.87,0,1.37,1.19,0,3.02,0,0,0,0,0
Eritrea ,64.24,31.61,0,1.87,1.53,0,0,0,0,0,0,0
Congo (Republic of the),60.85,27.48,0,3.75,5.07,0,0,0,0,0,0,0
Falkland Islands (Malvinas) ,76.75,15.51,2.09,3.64,1.58,0,0,0,0,0,0,0
Sao Tome and Principe ,82.16,10.89,1.57,3.24,0,0,1.15,0,0,0,0,0
Micronesia ,60.9,29.55,4.51,3.35,1.31,0,0,0,0,0,0,0
Cook Islands ,60.98,27.93,3.38,5.14,0,1.96,0,0,0,0,0,0
Tonga ,39.82,45.88,6.02,5.01,0,0,2.02,0,0,0,0,0
Timor-Leste ,46.15,39.89,1.54,7.52,4.18,0,0,0,0,0,0,0
Palau ,53.37,31.55,5.51,5.27,2.12,0,0,0,0,0,0,1.51
Kiribati ,30.18,53.58,0,14.24,1.01,0,0,0,0,0,0,0
Marshall Islands ,47.22,45.21,3.52,2.1,0,0,0,0,0,0,0,0
Central African Republic ,53.54,22.53,2.51,6.8,2.57,0,0,0,0,11.12,0,0
Mayotte ,56.91,30.12,6.51,5.57,0,0,0,0,0,0,0,0
Comoros ,67.37,27.09,0,2.09,2.82,0,0,0,0,0,0,0
Chad ,42.16,32.04,1.17,5.03,10.5,2.2,6.53,0,0,0,0,0
Wallis and Futuna ,31.56,52.17,2.24,13.38,0,0,0,0,0,0,0,0
Guinea-Bissau ,86.3,8.61,0,4.27,0,0,0,0,0,0,0,0
Tuvalu ,36.39,58.51,1.73,3.36,0,0,0,0,0,0,0,0
Niue ,41.21,48.16,0,4.92,0,0,0,0,0,2.03,0,2.86
