"Continent","IE","Firefox","Chrome","Safari","Android","iPhone","Opera","Nokia","BlackBerry","Maxthon","UC Browser","NetFront","iPod Touch","Sony PS3","Chromium","Obigo","Windows Media Player","AppleWebKit"
Netherlands Antilles ,48.36,17.36,22.95,7.65,0,0,1.11,0,0,0,0,0,0,0,0,0,0,0
Barbados ,31.24,27.95,32.68,3.77,0,0,1.27,0,0,0,0,0,0,0,0,0,0,0
Uganda ,22.66,49.78,12.54,2.44,0,0,8.16,1.52,0,0,0,0,0,0,0,0,0,0
Ethiopia ,21.41,37.92,11.9,1.37,0,0,19.95,4.31,0,0,1.08,0,0,0,0,0,0,0
Reunion ,22.85,41.51,20.73,8.4,1.68,1.72,1.5,0,0,0,0,0,0,0,0,0,0,0
Maldives ,14.8,45.59,26.87,3.74,0,0,2.39,3.49,0,0,0,0,0,0,0,0,0,0
Tanzania ,34.02,27.92,10.96,3.84,0,0,16.64,3.48,0,0,0,0,0,0,0,0,0,0
Guernsey ,59.65,11.25,11.25,12.32,1.07,1.93,1.03,0,0,0,0,0,0,0,0,0,0,0
Cameroon ,18.67,67.3,9,1.2,0,0,2.29,0,0,0,0,0,0,0,0,0,0,0
Suriname ,51.35,22.25,18.15,2.67,0,0,2.58,0,0,0,0,0,0,0,0,0,0,0
Isle of Man ,50.07,16.79,17.61,11.33,0,1.48,0,0,0,0,0,0,0,0,0,0,0,0
Cote dIvoire ,24.09,40.21,23.36,1.67,0,0,6.53,1.28,0,0,0,0,0,0,0,0,0,0
Uzbekistan ,11.51,16.15,13.78,1.71,0,0,51.03,3.3,0,0,0,0,0,0,0,0,0,0
Mozambique ,42.25,24.46,15.15,3.05,0,0,8.89,4.24,0,0,0,0,0,0,0,0,0,0
Botswana ,44.15,27.76,16.91,2.4,0,0,4.36,1.92,0,0,0,0,0,0,0,0,0,0
Namibia ,51.99,18.84,14.51,3.79,0,0,5.61,2.29,0,0,0,0,0,0,0,0,0,0
Guam ,30.32,23.32,27.42,11.3,1.8,2.51,0,0,0,0,0,0,1.49,0,0,0,0,0
Aruba ,48.56,19.43,20.94,7.96,1.01,0,0,0,0,0,0,0,0,0,0,0,0,0
Cuba ,23.17,68,4.95,0,0,0,2.01,0,0,0,0,0,0,0,0,0,0,0
Guadeloupe ,33.76,28.56,24.9,7.98,0,0,1.16,0,0,0,0,0,0,0,0,0,0,0
Zimbabwe ,27.94,22.89,9.99,3.02,0,0,30.59,2.29,0,0,0,0,0,0,0,0,0,0
Jersey ,39.87,15.95,19.06,19.08,1.66,1.97,0,0,0,0,0,0,0,0,0,0,0,0
Martinique ,34.86,28.41,25.61,5.57,1.87,0,1.47,0,0,0,0,0,0,0,0,0,0,0
Afghanistan ,44,27.49,13.66,4.58,0,0,5.58,1.96,0,0,0,0,0,0,0,0,0,0
Madagascar ,14.78,53.33,20.43,4.07,0,0,4.37,0,0,0,0,0,0,0,0,0,0,0
Grenada ,35.67,23.69,34.34,4.19,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Fiji ,31.51,40.15,18.96,3.93,0,0,3.36,0,0,0,0,0,0,0,0,0,0,0
Saint Vincent and the Grenadines ,24.77,18.45,51.63,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zambia ,33.32,26.77,10.23,2.91,0,0,22.43,1.37,0,0,0,0,0,0,0,0,0,0
Haiti ,44.31,19.79,17.77,4.97,0,0,6.94,0,0,0,0,1.92,0,0,0,0,0,0
 ,9.38,85,12.66,3.75,1.76,1.76,1.25,0,0,0,0,0,0,0,0,0,0,0
French Polynesia ,27.32,38.31,18.91,12.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Lucia ,34.88,25.43,32.48,3.95,0,0,1.76,0,0,0,0,0,0,0,0,0,0,0
Guyana ,33.63,32.23,27.83,2.03,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Cayman Islands ,41.15,21.71,19.47,13.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andorra ,41.57,20.45,24.67,10.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malawi ,35.58,20.12,8.7,2.34,0,0,25.84,3.41,0,0,0,0,0,0,0,0,0,0
Cape Verde ,53.07,19.05,22.97,2.96,0,0,1.12,0,0,0,0,0,0,0,0,0,0,0
Belize ,34.96,35.84,21.42,4.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Caledonia ,28.4,33.49,23.03,11.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kyrgyz Republic ,19.72,18.83,20.12,2.01,0,0,36.3,1.13,0,0,0,0,0,0,0,0,0,0
French Guiana ,33.09,34.92,24.4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Benin ,31.77,44.02,18.12,1.61,0,0,2.97,0,0,0,0,0,0,0,0,0,0,0
Rwanda ,23.33,44.68,15.81,4.12,0,0,8.28,1.4,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda ,35.84,21.13,29.61,8.8,0,0,1.46,0,0,0,0,0,0,0,0,0,0,0
Gibraltar ,40.7,23.5,22.76,9.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Monaco ,34.84,26.37,14.11,18.37,0,0,3.5,0,0,0,0,0,0,0,0,0,0,0
Saint Kitts and Nevis ,32.76,24.12,30.66,9.01,0,0,0,0,0,0,0,0,0,0,1.31,0,0,0
Liechtenstein ,47.82,26.26,9.26,11.66,0,1.66,1.3,0,0,0,0,0,0,0,0,0,0,0
Northern Mariana Islands ,39.89,18.5,33.79,3.49,1.74,0,0,0,0,0,0,0,0,0,0,0,0,0
Dominica ,35.84,23.38,31.8,5.9,0,0,1.66,0,0,0,0,0,0,0,0,0,0,0
Burkina Faso ,41.14,33.97,12.8,2.18,0,0,5.86,1.24,0,0,0,0,0,0,0,0,0,0
Djibouti ,36.62,27.96,24.09,1.53,0,0,6.77,0,0,0,0,0,0,0,0,0,0,0
Seychelles ,45.9,27.77,14.53,5.36,0,0,4.16,0,0,0,0,0,0,0,0,0,0,0
British Virgin Islands ,48.05,18.28,19.22,11.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Congo (Democratic Republic of the),39.46,31.98,11.1,3.51,1.21,0,6.61,3.12,0,0,0,0,0,0,0,0,0,0
Papua New Guinea ,41.92,14.87,8.05,3.58,0,0,17.56,4.98,0,0,0,0,0,0,0,5.38,0,0
Tajikistan ,20.99,17.36,21.59,2.02,0,0,34.6,1.54,0,0,0,0,0,0,0,0,0,0
Gambia ,18.6,50.82,10.31,3.36,0,1.03,10.43,1.71,0,0,0,0,0,0,0,0,0,0
Bhutan ,23.9,27.91,33.93,5.18,0,0,6,1.38,0,0,0,0,0,0,0,0,0,0
Gabon ,40.51,24.33,14.7,6.3,0,0,9.16,1.35,0,0,0,0,0,0,0,0,0,0
Lesotho ,56.25,17.18,10.94,2.56,0,0,9.89,1.5,0,0,0,0,0,0,0,0,0,0
Greenland ,58.82,14.36,13.22,10.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Togo ,31.92,52.37,8.25,2.01,0,0,3.34,0,0,0,0,0,0,0,0,0,0,0
Mali ,38.03,35.05,14.89,3.5,0,0,1.81,2.29,0,0,0,0,0,0,0,0,0,0
Mauritania ,25.53,28.28,34.37,2.17,0,0,4.83,2.53,0,0,0,0,0,0,0,0,0,0
Turks and Caicos Islands ,40.91,17.85,27.1,10.39,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0
Swaziland ,43.91,12.99,8.65,1.51,0,0,28.54,2.51,0,0,0,0,0,0,0,0,0,0
San Marino ,38.12,29.17,19.46,11.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Holy See (Vatican City State) ,84.07,12.12,2.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anguilla ,44.91,19.7,23.43,7.62,0,1.06,1.26,0,1.05,0,0,0,0,0,0,0,0,0
Somalia ,45.56,22.57,15.62,0,0,0,11.85,1.8,0,0,0,0,0,0,0,0,0,0
Turkmenistan ,23.66,14.63,14.48,2.53,3.22,2.8,28.09,7.24,0,0,1.04,0,0,0,0,0,0,0
Sierra Leone ,34.1,31.67,6.92,2.91,0,0,17.86,2.86,0,0,1.11,0,0,0,0,0,0,0
Liberia ,46.21,28.05,13.1,6.09,0,0,3.31,0,0,0,0,0,0,0,0,0,0,0
Equatorial Guinea ,48.47,19.82,9,3.26,0,0,13.21,3.26,0,0,0,0,0,0,0,0,0,0
Niger ,28.05,24.59,10.43,3.02,0,0,18.66,9.28,0,0,0,2.32,0,0,0,0,0,0
Timor-Leste ,30.46,42.74,14.98,4.99,0,0,3.01,2.06,0,0,0,0,0,0,0,0,0,0
American Samoa ,25.57,23.97,21.75,26.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Congo (Republic of the),36.04,37.55,9.92,3.53,0,0,7.19,2.6,0,0,0,0,0,0,0,0,0,0
Burundi ,35.73,38.29,13.23,3.99,0,0,5.93,0,0,0,0,0,0,0,0,0,0,0
Saint Pierre and Miquelon ,41.24,34.25,16.95,5.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Solomon Islands ,37.16,20.49,7.21,3.37,0,0,17.96,7.93,0,0,1.14,2.13,0,0,0,0,0,0
Samoa ,34.33,44.55,11.43,3.49,0,0,2.38,1.57,0,0,0,0,0,0,0,0,0,0
Micronesia ,31.74,36.33,24.96,4.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vanuatu ,40.51,35.48,15.28,5.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guinea ,47.38,27.83,10.01,4.05,0,0,4.48,2.07,0,0,0,0,0,0,0,0,0,0
Cook Islands ,50.77,24.87,13.93,8.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tonga ,31.66,48.29,11.46,6.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Falkland Islands (Malvinas) ,64.36,19.15,10.41,4.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sao Tome and Principe ,60.29,16.2,18.66,2.49,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0
Montserrat ,39.21,23.25,29.33,4.12,0,0,1.29,0,1.29,0,0,0,0,0,0,0,0,0
Eritrea ,47.88,43.95,3.49,0,0,0,2.99,0,0,0,0,0,0,0,0,0,0,0
Kiribati ,26.6,49.95,18.58,0,0,0,2.84,0,0,0,0,0,0,0,0,0,0,0
Mayotte ,40.01,40.04,11.62,5.74,1.17,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Helena ,78.24,12.91,6.92,0,0,0,1.56,0,0,0,0,0,0,0,0,0,0,0
Marshall Islands ,35.32,33.25,27.87,2.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Central African Republic ,47.52,30.66,12.89,3.29,0,0,3.39,0,0,0,0,0,0,0,0,0,0,0
Palau ,36.28,30.33,20.52,9.67,0,0,0,0,0,0,0,0,0,0,0,0,1.51,0
Comoros ,38.65,33.77,22.67,2.17,0,0,1.38,0,0,0,0,0,0,0,0,0,0,0
Chad ,28.32,18.39,3.68,1.74,0,0,26.24,16.03,0,2.8,0,0,0,0,0,0,0,0
North Korea ,53.34,34.67,9.16,0,0,0,1.26,0,0,0,0,0,0,0,0,0,0,0
Niue ,24.23,32.85,35.52,5.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wallis and Futuna ,23.74,44.85,26.17,4.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guinea-Bissau ,62.81,21.48,7.4,1.3,0,0,5.77,0,0,0,0,0,0,0,0,0,0,1.2
Nauru ,46.79,42.91,8.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tuvalu ,6.15,79.1,14.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Christmas Island ,1.73,32.9,58.44,6.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tokelau ,8,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
