"Continent","IE","Firefox","Chrome","Safari","BlackBerry","iPhone","Nokia","Opera","Maxthon","UC Browser","NetFront","Bolt","Windows Media Player","Motorola Internet Browser","Camino","Mozilla"
Cote dIvoire ,48.27,35.38,8.54,0,0,0,1.13,4.07,0,0,0,0,0,0,0,0
Ethiopia ,58.34,26.46,6.06,0,0,0,2,5.43,0,0,0,0,0,0,0,0
Netherlands Antilles ,61.46,20.61,10.61,4.37,0,0,0,1.35,0,0,0,0,0,0,0,0
Barbados ,43.11,35.69,15.42,3.36,0,0,0,1.04,0,0,0,0,0,0,0,0
Mozambique ,53.93,26.4,7.71,2.21,0,0,3.35,5.54,0,0,0,0,0,0,0,0
Armenia ,22.91,42.53,19.45,1.18,0,0,0,13.05,0,0,0,0,0,0,0,0
Reunion ,32.98,45.44,10.91,7.31,0,0,0,1.4,0,0,0,0,0,0,0,0
Isle of Man ,60.72,20.18,8.93,7.37,0,0,0,0,0,0,0,0,0,0,0,0
Tanzania ,54.04,24.9,6.82,3.22,0,0,1.91,7.87,0,0,0,0,0,0,0,0
Cameroon ,30.23,61.8,4.39,0,0,0,0,1.61,0,0,0,0,0,0,0,0
Guam ,47.07,27.97,12.43,7.83,0,1.46,0,0,0,0,0,0,0,0,0,0
Uganda ,40.91,45.73,7.88,1.9,0,0,0,2.43,0,0,0,0,0,0,0,0
Maldives ,26.63,50.15,14.32,2.42,0,0,1.68,2.95,0,0,0,0,0,0,0,0
Jersey ,51.47,21.96,10,12.96,0,0,0,0,0,0,0,0,0,0,0,0
Aruba ,57.13,24.36,10.61,5.62,0,0,0,0,0,0,0,0,0,0,0,0
Namibia ,56.05,19.37,9.69,2,0,0,2.35,8.27,0,0,0,0,0,0,0,0
Guadeloupe ,47.05,33.14,10.93,6.32,0,0,0,1.13,0,0,0,0,0,0,0,0
Botswana ,55.03,23.93,12.28,2.95,0,0,1.48,2.72,0,0,0,0,0,0,0,0
Guernsey ,53.24,21.41,8.78,11.24,0,1.55,0,1.86,0,0,0,0,0,0,0,0
Suriname ,59.22,23.11,7.9,1.21,0,0,1.51,5.23,0,0,0,0,0,0,0,0
Grenada ,50.44,26.84,15.8,4.05,0,0,0,1.91,0,0,0,0,0,0,0,0
Martinique ,48.02,33.34,10.88,4.05,0,0,0,1.59,0,0,0,0,0,0,0,0
Fiji ,48.04,37.01,10.43,2.55,0,0,0,1.12,0,0,0,0,0,0,0,0
Cayman Islands ,54.25,23.61,10.63,8.69,0,0,0,0,0,0,0,0,0,0,0,0
 ,26.07,21.37,20.51,6.84,0,25.21,0,8,0,0,0,0,0,0,0,0
Saint Lucia ,50.05,30.4,14.2,3.11,0,0,0,1.27,0,0,0,0,0,0,0,0
Haiti ,65.22,20.56,8.28,3.76,0,0,0,0,0,0,0,0,0,0,0,0
New Caledonia ,36.9,38.12,16.91,5.52,0,0,0,1.67,0,0,0,0,0,0,0,0
Afghanistan ,64.27,21.08,6.47,2.01,0,0,0,4.62,0,0,0,0,0,0,0,0
Andorra ,55.02,23.42,12.07,6.42,0,0,0,1.92,0,0,0,0,0,0,0,0
