"Continent","IE","Chrome","Firefox","Safari","Android","iPhone","Opera","BlackBerry","UC Browser","Nokia","NetFront","Dolfin","Maxthon","TheWorld","SeaMonkey","Flock","Comodo Dragon","iPod Touch","Samsung","Obigo","Iron"
Saint Pierre and Miquelon ,33.45,19.39,37.09,7.4,0,0,1.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Samoa ,32.94,11.42,37.07,2.46,0,1.36,10.49,0,0,1.85,0,0,0,0,0,0,0,0,0,1.17,0
Vanuatu ,41.22,16.89,30.75,7.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Micronesia ,34.86,22.74,34.87,4.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Falkland Islands (Malvinas) ,65.73,9.56,12.66,7.3,0,0,1.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eritrea ,33.78,4.09,59.25,0,0,0,1.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Solomon Islands ,44.09,28.26,20.12,5.52,0,0,1.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Timor-Leste ,31.78,14.73,48.66,2.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cook Islands ,42.22,14.04,25.21,11.45,0,1.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.25
Guinea ,36.45,12.49,34.07,4.72,2.56,0,4.16,0,0,1.25,0,0,0,0,0,0,0,0,0,0,0
Sao Tome and Principe ,53.08,16.61,22.53,4.92,0,0,1.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tonga ,30.59,10.21,50.32,4.88,0,0,0,0,0,0,0,0,0,0,0,0,2.22,0,0,0,0
Comoros ,32.96,23,36.81,3.63,0,0,1.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montserrat ,49.1,25.54,20.83,3.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kiribati ,21.98,28.82,46.73,1.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marshall Islands ,28.35,23.33,41.21,3.61,0,0,1.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Helena ,78.34,13.08,6.82,1.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Palau ,29.18,24.82,31.87,10.04,0,0,1.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mayotte ,30.75,10.98,30.92,13.45,9.16,1.69,2.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Central African Republic ,37.24,11.9,28.71,15.95,0,0,3.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chad ,56.62,13.62,19.92,5.25,0,0,0,0,0,0,0,0,2.67,0,0,0,0,0,0,0,0
North Korea ,64.8,1.08,16.5,0,0,0,16.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wallis and Futuna ,23.54,30.36,37.76,7.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guinea-Bissau ,52.76,7.98,34.08,0,0,0,4.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Niue ,30.63,18.84,46.69,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tuvalu ,6.17,17.77,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nauru ,7.74,8.39,81.29,0,2.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Christmas Island ,7.32,12.2,80.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norfolk Island ,0,85.71,14.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tokelau ,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pitcairn Islands ,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Western Sahara ,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
