"Continent","IE","Chrome","Firefox","Safari","iPhone","Android","Opera","UC Browser","Nokia","NetFront","Dolfin","BlackBerry","Sogou Explorer","360 Safe Browser","Maxthon","QQ Browser","IEMobile","iPod Touch","Sony PS3","Obigo","RockMelt","AppleWebKit","Samsung","Openwave Mobile Browser","Unknown","Pale Moon"
Madagascar ,9.32,23.34,52.99,3.39,0,1.67,4.96,0,1.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Martinique ,28.6,33.55,22.62,7.7,1.15,3.48,1.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malawi ,24.33,9.16,19.43,2.18,0,1.5,36.43,1.34,3.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fiji ,23.71,21.36,37.42,4.89,1.05,2.02,5.28,0,1.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Botswana ,34.86,21.3,25.18,4.38,0,1.7,6.71,0,1.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grenada ,25.27,43.99,19.27,6.85,0,0,1.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Afghanistan ,29.07,16.65,27.27,3.74,3.63,3.3,8.28,2.12,4.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jersey ,31.46,23.39,13.76,23.73,3.35,1.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Lucia ,25.55,40.43,22.22,6.24,0,0,1.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kyrgyz Republic ,13.03,33.91,14.86,2.65,0,1.73,29.52,0,2.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haiti ,33.82,26.26,20.67,7.79,1.17,1.8,4.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,5.56,43.81,100,6.84,3.76,2.49,94.44,0,1.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.99
Guernsey ,32.44,20.22,13.55,22.6,6.04,3.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cayman Islands ,32.29,31.96,15.32,15.06,1.63,1.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
French Polynesia ,18.57,24.13,37.28,14.91,1.18,1.55,1.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rwanda ,24.65,16.09,41.9,4.25,0,1.51,8.2,0,1.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andorra ,33.66,31.23,17.49,11.78,1.58,2.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Papua New Guinea ,18.67,5.93,7.96,2.47,0,4.8,40.6,3.1,9.41,0,0,0,0,0,0,0,0,0,0,3.55,0,0,0,0,0,0
New Caledonia ,24.85,23.89,32.02,13.56,1.37,2.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belize ,24.19,29.65,32.24,5.54,1.72,3.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Kitts and Nevis ,24.68,38.91,19.61,12.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Togo ,17.18,13.65,58.74,2.32,0,1.22,3.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
French Guiana ,25.44,31.66,27.87,5.43,1.69,5.11,1.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda ,29.49,33.75,22.35,8.76,0,1.4,1.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Mariana Islands ,33.31,38.76,14.71,5.11,0,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Vincent and the Grenadines ,23.75,38.81,27.09,4.3,0,1.14,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
