"Continent","IE","Chrome","Firefox","Safari","iPhone","Android","Yandex Browser","Opera","BlackBerry","UC Browser","Nokia","NetFront","Sogou Explorer","360 Safe Browser","Maxthon","QQ Browser","IEMobile","iPod Touch","Silk","Obigo","Phantom","Iron","Pale Moon"
Mozambique ,23.74,19.46,17.38,4.72,1.12,3.62,0,18.7,0,3.08,6.47,0,0,0,0,0,0,0,0,0,0,0,0
Madagascar ,8.42,25.31,49.05,3.28,0,2.81,0,6.95,0,1.06,0,0,0,0,0,0,0,0,0,0,0,0,0
Namibia ,33.43,22.85,16.72,5.16,1.77,4.71,0,9.42,0,0,3.21,0,0,0,0,0,0,0,0,0,0,0,0
Kyrgyz Republic ,11.98,41.37,13.07,2.9,1.57,3.63,0,20.71,0,0,1.98,0,0,0,0,0,0,0,0,0,0,0,0
Saint Lucia ,21.92,46.05,19.35,5.8,0,2.25,0,1.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Togo ,9,13.3,69.16,1.7,0,1.46,0,2.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grenada ,22.98,45.71,18.41,7.53,0,1.25,0,1.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aruba ,31.63,31.83,11.89,12.66,3.86,4.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fiji ,20.19,23.49,31.92,5.82,1.65,5.55,0,7.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Botswana ,28.53,24.19,24.28,4.55,0,2.38,0,5.1,0,5.16,2.95,0,0,0,0,0,0,0,0,0,0,0,0
Afghanistan ,22.66,19.16,26.74,3.94,3.86,4.79,0,9.26,0,3.05,5.06,0,0,0,0,0,0,0,0,0,0,0,0
French Guiana ,22.29,38.64,23.5,5.67,1.41,6.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jersey ,26.68,24.32,13.08,26.95,4.22,2.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haiti ,28.05,28.69,18.84,8.35,2.03,3.77,0,4.92,0,1.35,0,0,0,0,0,0,0,0,0,0,0,0,0
Malawi ,21.4,13.47,22.79,2.45,0,2.49,0,29.36,0,2.68,2.72,0,0,0,0,0,0,0,0,0,0,0,0
Cayman Islands ,31.56,29.56,13.8,17.31,3.47,1.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda ,22.11,39.25,14.16,12.17,1.77,5.49,0,1,0,0,0,0,0,0,0,0,0,0,1.7,0,0,0,0
Belize ,23.86,32.25,26,6.35,3.29,4.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauritania ,11.4,38.1,24.86,2.14,1.16,2.5,0,9.04,0,1.71,6.61,0,0,0,0,0,0,0,0,0,0,0,0
French Polynesia ,16.2,29.21,32.18,15.31,1.76,2.89,0,0,0,0,0,0,0,0,0,0,0,1.27,0,0,0,0,0
 ,29.27,4.92,68.85,15.4,6.55,5.23,0,0,2.64,0,0,0,0,1.56,0,0,0,1.26,0,0,0,0,26.23
