"Continent","IE","Firefox","Chrome","Safari","BlackBerry","Android","iPhone","Nokia","Opera","Maxthon","UC Browser","NetFront","Sony PS3","Bolt","iPod Touch","Windows Media Player","Camino","Mozilla","Sony PSP"
Botswana ,50.91,24.43,14.33,2.8,0,0,0,1.54,4.49,0,0,0,0,0,0,0,0,0,0
Namibia ,50.78,18.54,9.58,2.34,0,0,0,3.07,12.26,0,0,1.08,0,0,0,0,0,0,0
Aruba ,51.62,23.69,15.39,6.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Suriname ,56.23,24.51,10.69,1.4,0,0,0,1.09,4.17,0,0,0,0,0,0,0,0,0,0
Cuba ,30.01,61.24,4.3,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0
Guadeloupe ,39.28,32.26,16.25,8.94,0,0,0,0,1.23,0,0,0,0,0,0,0,0,0,0
 ,11.42,78.5,5.24,8.21,0,0,0,0,3.74,0,0,0,0,0,0,0,0,0,0
Martinique ,42.36,32.33,15.29,5.87,0,0,0,0,1.38,0,0,0,0,0,0,0,0,0,0
Haiti ,58.37,23.4,11.45,4.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uzbekistan ,20.8,23.14,7.85,1.43,0,0,0,1.52,43.53,0,0,0,0,0,0,0,0,0,0
Belize ,34.08,47.7,10.89,2.96,0,0,0,0,1.48,0,0,0,0,0,0,0,0,0,0
Fiji ,41.14,38.38,14.26,3.43,0,0,0,0,1.62,0,0,0,0,0,0,0,0,0,0
Cayman Islands ,45.5,23.91,13.52,12.83,1.56,0,0,0,1.02,0,0,0,0,0,0,0,0,0,0
Guyana ,45.36,33.05,16.47,1.56,0,0,0,0,1.98,0,0,0,0,0,0,0,0,0,0
Saint Lucia ,46.15,27.15,20.02,4.14,0,0,0,0,1.53,0,0,0,0,0,0,0,0,0,0
French Polynesia ,29.56,43.28,12.87,12.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Afghanistan ,60.41,22.89,7.01,2.32,0,0,0,0,5.06,0,0,0,0,0,0,0,0,0,0
Madagascar ,23.64,58.74,11.96,2.09,0,0,0,0,2.53,0,0,0,0,0,0,0,0,0,0
Andorra ,50,22.59,16.62,8.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cape Verde ,64.91,20.78,11.05,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grenada ,43.33,24.97,25.11,3.86,0,0,0,0,1.79,0,0,0,0,0,0,0,0,0,0
Zimbabwe ,31.99,27.08,8.89,2.24,0,0,0,4.25,22.56,0,0,0,0,0,0,0,0,0,0
Djibouti ,62.58,20.84,11.31,1.57,0,0,0,0,2.04,0,0,0,0,0,0,0,0,0,0
Zambia ,36.07,27.43,8.29,2.2,0,0,0,0,23.68,0,0,0,0,0,0,0,0,0,0
Saint Kitts and Nevis ,44.03,24.97,19.03,10.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda ,41.52,35.22,14.53,6.32,0,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0
Northern Mariana Islands ,50.47,22.38,19.31,3.64,0,1.71,0,0,0,0,0,0,0,0,0,0,0,0,0
New Caledonia ,37.23,34.16,17,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malawi ,42.09,20.27,6.65,2.35,0,0,0,2.48,24.16,0,0,0,0,0,0,0,0,0,0
French Guiana ,38.95,41.27,14.05,3.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gibraltar ,51.56,22.83,15.41,6.44,0,0,0,0,1.02,0,0,0,0,0,0,0,0,0,0
Benin ,51.83,29.5,7.04,1.32,0,0,0,0,9.16,0,0,0,0,0,0,0,0,0,0
Saint Vincent and the Grenadines ,40.58,27.67,22.57,4.9,0,0,0,0,2.57,0,0,0,0,0,0,0,0,0,0
Monaco ,47.26,23.37,10.31,16.11,0,0,1.02,0,1.18,0,0,0,0,0,0,0,0,0,0
Mauritania ,45.71,30.41,18.53,1.16,0,0,0,1.88,1.92,0,0,0,0,0,0,0,0,0,0
Liechtenstein ,41.08,38.48,6.83,11.13,0,0,0,0,1.08,0,0,0,0,0,0,0,0,0,0
Burkina Faso ,56.11,27.55,8.47,1.52,0,0,0,0,4.43,0,0,0,0,0,0,0,0,0,0
British Virgin Islands ,55.99,18.32,12.92,10.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Congo (Democratic Republic of the),50.27,29.72,8.67,1.61,0,0,0,2.07,6.09,0,0,0,0,0,0,0,0,0,0
Mali ,52.28,30.69,8.39,3.02,0,0,0,1.65,2.18,0,0,0,0,0,0,0,0,0,0
Kyrgyz Republic ,32.73,21.15,8.73,1.53,0,0,0,0,33.79,0,0,0,0,0,0,0,0,0,0
Papua New Guinea ,61.04,20.81,10.21,2.17,0,0,0,1.47,3.31,0,0,0,0,0,0,0,0,0,0
Bhutan ,42.78,32.2,18.36,2.36,0,0,0,0,2.96,0,0,0,0,0,0,0,0,0,0
Dominica ,42.09,28.1,21.17,5.56,0,0,0,0,2.28,0,0,0,0,0,0,0,0,0,0
Seychelles ,48.99,29.44,10.76,4.94,0,0,0,0,3.44,1.03,0,0,0,0,0,0,0,0,0
Rwanda ,32.74,44.2,10.05,2.88,0,0,0,1.78,7.09,0,0,0,0,0,0,0,0,0,0
Turks and Caicos Islands ,46.85,21.58,17.23,11.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lesotho ,60.81,20.81,6.7,0,0,0,0,1.33,7.73,0,0,0,0,0,0,0,0,0,0
Gambia ,32.37,54.53,5.45,1.58,0,0,0,0,4.14,0,0,0,0,0,0,0,0,0,0
Greenland ,60.56,19.36,8.66,7.33,0,0,0,0,1.36,0,0,0,0,0,0,0,0,0,0
Gabon ,48.53,29.25,7.57,2.6,0,0,0,1.93,7.55,0,0,0,0,0,0,0,0,0,0
Togo ,51.9,37.57,4.7,1.13,0,0,0,0,2.31,0,0,0,0,0,0,0,0,0,0
Anguilla ,62.38,15.04,13.97,6.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
