"Continent","IE","Chrome","Firefox","Safari","iPhone","Android","Yandex Browser","Opera","BlackBerry","UC Browser","Nokia","NetFront","Sogou Explorer","Maxthon","QQ Browser","360 Safe Browser","IEMobile","iPod Touch","Silk","Obigo","Phantom","Iron","Samsung","Openwave Mobile Browser","Pale Moon"
Cambodia ,6.9,22,30.59,6.28,8.87,10.72,0,4.53,0,3.69,4.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Senegal ,16,35.62,35.25,3.51,1.37,3.14,0,2.36,0,0,1.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barbados ,19.68,46.56,19.22,6.41,1.02,3.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brunei Darussalam ,8.16,26.39,19.72,9.48,3.66,12.23,0,15.87,0,0,2.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tanzania ,16.86,11.86,28.75,3.45,0,4.31,0,20.09,0,4.94,6.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luxembourg ,23.8,23.85,25.77,14.36,5.46,4.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bermuda ,46.55,17.08,8.29,23.25,1.71,1.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bahamas ,28.01,36.27,11.61,12.38,2.26,4.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zambia ,21.95,9.92,18.19,2.91,1.16,4.84,0,30.99,0,2.11,4.05,1.31,0,0,0,0,0,0,0,0,0,0,0,0,0
Ethiopia ,17.41,12.59,23.91,1.05,1.16,1.54,0,24.44,0,10.27,5.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Macao ,24.13,34.43,13.2,9.63,6.25,9.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Reunion ,15.37,31.07,32.72,8.93,2.78,6.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uganda ,10.02,14.32,36.18,2.68,0,3.51,0,21.57,0,4.11,4.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maldives ,6.62,40.39,31.09,5.5,2.25,5.49,0,2.97,0,1.66,2.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Angola ,27.98,18.19,10.98,7.11,1.67,4.09,0,26.26,0,0,1.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cote dIvoire ,11.29,34.87,34.12,3.13,0,4.14,0,5.36,0,1.46,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cameroon ,9.8,16.06,58.26,2.14,0,1.83,0,7.52,0,1.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guadeloupe ,22.89,37.22,20.89,10.03,1.08,5.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guam ,19.99,35.32,11.93,16.94,4.53,7.26,0,0,0,0,0,0,0,0,0,0,0,2.13,0,0,0,0,0,0,0
Lao Peoples Democratic Republic ,12.83,20.48,19.5,5.28,5.91,5.6,0,16.07,0,2.47,9.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands Antilles ,28.16,38.68,12.41,11.47,2.07,3.71,0,0,1.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Suriname ,31.41,32.87,18.75,5.33,1.54,5.39,0,1.52,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Martinique ,24.31,36.79,19.38,7.53,1.44,7.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guyana ,19.21,44.88,24.89,3.54,0,2.06,0,1.14,1.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Isle of Man ,35.61,23.34,13.31,19.99,3.39,2.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uzbekistan ,6.49,27.43,12.81,1.98,2.69,4.54,0,35.8,0,1.59,4.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cuba ,13.66,9.73,72.72,0,0,0,0,1.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mozambique ,23.68,19.51,16.46,4.59,1.15,3.39,0,19.25,0,3.91,6.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grenada ,22.59,47.6,18.62,6.43,0,1.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madagascar ,7.56,26.23,47.84,3.62,0,2.76,0,7.45,0,1.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kyrgyz Republic ,10.7,44.16,11.34,2.98,1.78,3.63,0,19.89,0,0,2.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Lucia ,20.92,44.99,20.14,6.4,1.16,2.19,0,1.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aruba ,29.95,32.05,12.27,13.15,4.14,5.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Namibia ,30.51,24.67,16.96,5.16,1.79,4.74,0,9.58,0,1.11,3.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fiji ,18.1,23.76,31.83,5.58,1.68,5.89,0,9.48,0,1,1.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Botswana ,28.3,26,25,4.84,1.12,2.7,0,3.83,0,3.1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Afghanistan ,22.41,21.14,26.24,3.89,3.76,4.74,0,8.68,0,3.19,4.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Togo ,9.98,17.43,61.4,2.14,0,2.46,0,3.19,0,1.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malawi ,18.37,14.83,23.7,2.36,0,2.42,0,29.43,0,3.42,2.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0
French Guiana ,21.16,40.63,23.62,6.32,1.06,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jersey ,25.95,25.22,12.05,27.74,4.44,2.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haiti ,25.75,29.72,17.97,8.66,2.17,3.72,0,5.54,0,2.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda ,23.19,41.46,12.84,10.55,1.83,5.29,0,1.18,0,0,0,0,0,0,0,0,0,0,1.13,0,0,0,0,0,0
Mauritania ,9.75,39.69,25.1,2.32,1.48,2.43,0,8.79,0,1.58,6.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cayman Islands ,30.21,30.3,13.02,18.89,3.32,1.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Papua New Guinea ,14.96,6.34,6.86,2.33,1.04,11.13,0,33.51,0,4.6,15.33,0,0,0,0,0,0,0,0,1.49,0,0,0,0,0
 ,16,4,100,14.47,1.73,4.47,0,0,1.15,0,0,0,0,0,0,1.4,0,0,1.47,0,0,0,0,0,0
French Polynesia ,15.5,29.4,31.21,16.43,1.62,3.17,0,0,0,0,0,0,0,0,0,0,0,1.44,0,0,0,0,0,0,0
Saint Vincent and the Grenadines ,18.52,46.79,21.13,6.05,0,2.25,0,1.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belize ,22.08,32.06,25.71,7.63,2.7,5.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rwanda ,11.84,22.15,41.55,4.01,0,2.2,0,11.85,0,2.45,1.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Caledonia ,22.76,30.48,24.27,13.92,1.64,4.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cape Verde ,27.89,44.69,17.27,3.88,0,2.42,0,1.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guernsey ,26.64,21.92,10.6,25.75,6.09,3.98,0,0,0,0,0,0,0,0,0,0,1.85,1.15,0,0,0,0,0,0,0
Northern Mariana Islands ,27.4,44.77,12.89,5.98,0,6.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andorra ,26.71,34.62,15.45,13.94,2.37,5.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Kitts and Nevis ,19.58,46.42,15.76,12.04,1.03,1.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dominica ,18.38,44.71,21.09,8.65,0,2.34,0,1.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bhutan ,10.02,39.24,20.75,3.29,1.64,2.79,0,8.95,0,6.13,5.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mali ,19.97,13.03,23.83,3.67,1.58,7.95,0,14.99,0,3.88,5.21,0,0,0,0,0,0,0,0,0,1.44,0,0,0,0
Gabon ,27.14,22.53,24.78,8.21,1.35,4.31,0,6.2,0,0,2.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tajikistan ,11.58,36.51,9.55,3.1,1.77,4.71,1.4,24.2,0,1.3,3.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Benin ,10.04,34.52,33.98,2.13,1.09,3.37,0,8.02,0,2.5,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gibraltar ,22.82,33.83,16.14,17.79,4.12,2.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Somalia ,6.72,12.83,11.85,0,0,0,0,50.43,0,10.6,4.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Djibouti ,17.15,32.35,24.75,2.81,0,1.9,0,8.38,0,4.8,4.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Burkina Faso ,20.38,17.37,37.31,3.68,0,3.72,0,7.22,0,3.69,1.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Monaco ,26.04,23.7,15.98,28.04,2.79,1.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Congo (Democratic Republic of the),14.85,14.26,22.59,4.39,1.39,6.99,0,21.5,0,4.66,4.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gambia ,10.24,12.91,41.86,2.86,2.74,5.76,0,13.47,0,4.92,2.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0
British Virgin Islands ,33.75,33.48,12.27,12.73,1.76,2.19,0,0,0,0,0,0,0,0,0,0,0,0,1.66,0,0,0,0,0,0
Liechtenstein ,33.22,17.64,20.59,18.02,5.44,3.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mayotte ,18.27,40.39,28.59,4.65,0,4.14,0,1.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
