"Continent","IE","Chrome","Safari","Firefox","iPhone","Android","Yandex Browser","Opera","UC Browser","Nokia","NetFront","BlackBerry","Sogou Explorer","Maxthon","QQ Browser","360 Safe Browser","CoRom+","Puffin","IEMobile","Unknown","Chromium","iPod Touch","Openwave Mobile Browser","Phantom","Obigo","Silk","Dolfin","Iron"
Benin ,4.1,17.71,0,14.3,0,2.57,0,49.07,5.09,3.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haiti ,15.19,19.52,4.68,10.77,1.97,3.93,0,31.33,2.39,0,2.04,0,0,0,0,0,0,0,0,1.66,0,0,0,0,3.78,0,0,0
Isle of Man ,32.55,25.78,20.76,12.75,3.78,1.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gambia ,3.17,5.28,1.14,11.82,1.23,2.68,0,68.53,2.98,1.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Afghanistan ,15.74,17.88,3.51,18.87,3.53,4.66,0,23.59,4.79,6.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aruba ,27.83,33.55,12.7,9.88,5.58,7.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fiji ,13.77,26.72,4.95,29.51,1.73,6.82,0,11.64,1.38,1.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Botswana ,23.19,24.67,3.54,19.52,0,2.76,0,14.77,3.41,4.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cape Verde ,24,46.42,2.93,15.47,0,2.24,0,6.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lesotho ,12.19,7.8,0,5.15,0,0,0,58.92,3.17,7.89,1.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jersey ,26.45,28.05,24.79,12.13,4.34,1.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cayman Islands ,23.71,37.08,18.42,12.28,3.48,2.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belize ,16,37.05,6.53,24.94,3,6.33,0,2.01,0,0,0,0,0,0,0,0,0,0,0,0,0,1.19,0,0,0,0,0,0
French Guiana ,19.53,40.05,6.08,22.36,1.23,6.32,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
