"Continent","IE","Firefox","Safari","Chrome","BlackBerry","iPhone","Android","Opera","Nokia","Maxthon","UC Browser","NetFront","Sony PS3","Bolt","Motorola Internet Browser","Camino","Samsung","Windows Media Player","Mozilla"
Tonga ,33.92,45.67,5.58,6.63,0,0,0,0,0,0,0,0,0,0,0,7.02,0,0,0
Cook Islands ,56.64,25.34,5.06,9.96,0,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0
Guinea ,49.51,37.71,0,4.28,0,0,0,2.89,2.04,0,0,1.14,0,0,0,0,0,0,0
Holy See (Vatican City State) ,59.1,31.42,2.19,6.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montserrat ,60.1,19.62,3.72,14.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Falkland Islands (Malvinas) ,78.04,11.66,2.43,5.61,0,0,0,1.93,0,0,0,0,0,0,0,0,0,0,0
Burundi ,45.58,35.19,4.77,9.36,0,0,0,2.52,1.35,0,0,0,0,0,0,0,0,0,0
Marshall Islands ,45.32,39.01,1.97,7.06,0,0,0,0,0,0,0,0,0,0,0,0,0,4.08,1.64
Central African Republic ,58.25,24.22,1.04,11.44,0,1.59,0,2.03,0,0,0,0,0,0,0,0,0,0,0
Palau ,43.79,27.96,5.21,19.74,0,0,0,0,0,0,0,0,0,0,0,0,0,2.43,0
Sao Tome and Principe ,74.3,16.87,1.28,5.22,0,0,0,1.92,0,0,0,0,0,0,0,0,0,0,0
Kiribati ,29.91,59.96,0,8.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guinea-Bissau ,70.64,19.5,3.74,4.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comoros ,60.46,31.41,0,3.95,0,0,0,2.11,0,0,0,0,0,0,0,0,0,0,0
Mayotte ,46.03,35.12,8.57,9.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wallis and Futuna ,19.84,52.35,16.46,11.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chad ,31.76,29.69,2.09,7.09,0,0,0,13.26,14.28,0,0,0,0,0,0,0,0,0,0
Niue ,40.61,49.59,1.44,5.66,0,0,0,0,0,0,0,0,0,0,0,0,0,2.34,0
Tuvalu ,38.82,51.13,7.48,1.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North Korea ,73.45,22.21,2.04,0,0,0,0,1.11,0,0,0,0,0,0,0,0,0,0,0
Norfolk Island ,89.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.04
Tokelau ,19.35,3.23,0,77.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nauru ,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
