"Continent","IE","Firefox","Chrome","Safari","BlackBerry","Android","iPhone","Opera","Nokia","Maxthon","UC Browser","NetFront","Bolt","Mozilla","Motorola Internet Browser","Windows Media Player","Camino","Samsung","iPod Touch"
Angola ,65.48,17.8,9.8,3.2,0,0,0,2.29,0,0,0,0,0,0,0,0,0,0,0
Ethiopia ,49.58,30.36,7.15,0,0,0,0,8.15,2.74,0,0,0,0,0,0,0,0,0,0
Netherlands Antilles ,56.71,22.21,13.54,5.3,0,0,0,1.13,0,0,0,0,0,0,0,0,0,0,0
Barbados ,40.99,32.65,20.19,3.52,0,0,0,1.17,0,0,0,0,0,0,0,0,0,0,0
Reunion ,29.11,47.13,13.44,7.05,0,0,0,1.35,0,0,0,0,0,0,0,0,0,0,0
Isle of Man ,59.37,18.43,10.09,8.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tanzania ,50.03,26.25,8.33,3.27,0,0,0,9.12,1.95,0,0,0,0,0,0,0,0,0,0
Mozambique ,49.27,28.87,9.35,2.2,0,0,0,5.51,3.79,0,0,0,0,0,0,0,0,0,0
Cote dIvoire ,41.6,34.2,11.6,1.38,0,0,0,7.07,1.38,0,0,0,1.56,0,0,0,0,0,0
Uganda ,36.91,46.62,9.37,2.44,0,0,0,3.23,0,0,0,0,0,0,0,0,0,0,0
Guam ,42.94,27.31,16.32,8.13,0,0,1.97,0,0,0,0,0,0,0,0,0,0,0,0
Maldives ,23.36,50.75,16.69,3.07,0,0,0,2.79,1.88,0,0,0,0,0,0,0,0,0,0
Cameroon ,27.03,62.14,4.88,0,0,0,0,2.93,0,0,0,0,0,0,0,0,0,0,0
Jersey ,53.66,17.47,10.13,14.69,0,0,1.4,0,0,0,0,0,0,0,0,0,0,0,0
Namibia ,57.41,20.32,9.61,2.55,0,0,0,5.62,2.31,0,0,0,0,0,0,0,0,0,0
Aruba ,55.67,22.64,13.84,5.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Botswana ,51.6,26.25,13.95,2.5,0,0,0,3.13,1.19,0,0,0,0,0,0,0,0,0,0
Guernsey ,50.91,16.76,8.97,11.9,0,0,1.63,7.97,0,0,0,0,0,0,0,0,0,0,0
Suriname ,57.04,23.71,9.89,1.36,0,0,0,4.14,1.64,0,0,0,0,0,0,0,0,0,0
Guadeloupe ,42.48,33.15,14.05,7.26,0,0,0,1.37,0,0,0,0,0,0,0,0,0,0,0
Martinique ,43.78,32.38,14.36,5.52,0,0,0,1.48,0,0,0,0,0,0,0,0,0,0,0
Cuba ,31.34,59.57,4.13,0,0,0,0,2.7,0,0,0,0,0,1.04,0,0,0,0,0
 ,50.43,46.08,3.02,6.73,0,0,0,4.18,0,0,0,0,0,0,0,0,0,0,0
Fiji ,43.48,39.11,12.4,2.74,0,0,0,1.38,0,0,0,0,0,0,0,0,0,0,0
Haiti ,59.33,23.08,10.59,4.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cayman Islands ,49.28,25.33,11.41,10.37,1.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guyana ,47.71,33.87,13.3,1.33,0,0,0,1.99,0,0,0,0,0,0,0,0,0,0,0
Madagascar ,24.36,59.03,11.55,2.22,0,0,0,1.65,0,0,0,0,0,0,0,0,0,0,0
