Continent,Chrome,IE,Safari,Firefox,iPhone,Android,Yandex Browser,Opera,UC Browser,Nokia,NetFront,Unknown,BlackBerry,IEMobile,Sogou Explorer,QQ Browser,Maxthon,CoRom+,Puffin,Openwave Mobile Browser,iPod Touch,Obigo,SonyEricsson,Silk,Phantom,Dolfin,360 Safe Browser,Iron,Iceweasel
Faroe Islands ,25.44,35.29,22.11,7.15,6.01,3.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Syrian Arab Republic ,25.54,6.59,1.52,29.75,1.96,18.01,0,5.36,4.71,5.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mozambique ,10.33,8.33,1.85,6.56,0,5.32,0,40.28,5.24,13.06,1.19,1.28,0,0,0,0,0,0,0,1.12,0,1.33,1.23,0,0,0,0,0,0
Barbados ,46.74,16.9,8.7,15.48,1.5,5.05,0,1.06,0,0,0,0,1.01,0,0,0,0,0,0,0,0,0,0,1.16,0,0,0,0,0
Mongolia ,39.35,4.88,4.18,34.64,4.05,9.52,0,2.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luxembourg ,27.44,22.55,14.06,22.91,6.42,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ethiopia ,13.01,4.93,0,28.41,1.06,1.73,0,29.43,10.08,8.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bermuda ,18.82,45,23.78,7.09,1.59,2.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uganda ,12.84,6.39,1.94,29.84,0,4.9,0,31.52,3.69,5.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bahamas ,38.75,24.65,12.77,9.54,2.98,6.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.68,0,0,0,0,0
