"Continent","IE","Firefox","Chrome","Safari","BlackBerry","Nokia","Opera","iPhone","Maxthon","UC Browser","NetFront","Sony PS3","Bolt","Windows Media Player","Motorola Internet Browser","Mozilla","Minefield"
Macao ,67.33,18.04,7.41,3.14,0,0,0,0,1.6,0,0,0,0,0,0,0,0
Mauritius ,31.38,43.23,16.12,2.03,0,1.23,5.14,0,0,0,0,0,0,0,0,0,0
Bahamas ,58.37,20.83,11.49,6.16,0,0,0,0,0,0,0,0,0,0,0,0,0
Bermuda ,66.85,13.09,5.56,12.81,0,0,0,0,0,0,0,0,0,0,0,0,0
Cambodia ,43.28,35.76,6.37,2.61,0,4.15,5.15,0,0,0,1.37,0,0,0,0,0,0
Angola ,68.84,17.55,7.29,2.43,0,0,2.55,0,0,0,0,0,0,0,0,0,0
Lao Peoples Democratic Republic ,58.82,24.74,3.52,1.29,0,3.26,7.59,0,0,0,0,0,0,0,0,0,0
Faroe Islands ,65.42,17.69,9.87,4.83,0,0,0,0,0,0,0,0,0,0,0,0,0
Cote dIvoire ,50.47,32.85,7.94,0,0,1.14,4.84,0,0,0,0,0,1.17,0,0,0,0
Netherlands Antilles ,61.95,20.62,9.73,4.34,0,0,1.7,0,0,0,0,0,0,0,0,0,0
Ethiopia ,59.69,27.63,6.29,0,0,1.21,3.84,0,0,0,0,0,0,0,0,0,0
Cameroon ,24.62,69.79,3.38,0,0,0,1.09,0,0,0,0,0,0,0,0,0,0
Armenia ,23.16,42.28,18.17,1.21,0,0,14.24,0,0,0,0,0,0,0,0,0,0
Barbados ,43.57,35.45,14.74,3.05,0,0,1.12,0,0,0,0,0,0,0,0,0,0
Isle of Man ,60.79,19.94,8,8.03,0,0,0,0,0,0,0,0,0,0,0,0,0
Reunion ,33.89,46.11,9.9,6.76,0,0,1.36,0,0,0,0,0,0,0,0,0,0
Guam ,47.44,27.88,12.19,7.64,0,0,0,1.31,0,0,0,0,0,0,0,0,0
Mozambique ,52.24,28.36,7.64,2.56,0,3.15,5.1,0,0,0,0,0,0,0,0,0,0
Tanzania ,55.23,24.42,6.44,2.79,0,1.69,8.35,0,0,0,0,0,0,0,0,0,0
Maldives ,28.06,50.07,14.08,2.26,0,1.36,2.77,0,0,0,0,0,0,0,0,0,0
Uganda ,40.9,46.72,7.01,1.8,0,0,2.27,0,0,0,0,0,0,0,0,0,0
Guadeloupe ,49.24,31.84,10.12,6.28,0,0,1.16,0,0,0,0,0,0,0,0,0,0
Jersey ,54.45,21.17,8.7,12.09,0,0,0,0,0,0,0,0,0,0,0,0,0
Aruba ,56.8,25.01,10.77,5.1,0,0,0,0,0,0,0,0,0,0,0,0,0
Namibia ,57.6,20.04,8.46,2.37,0,2.69,6.18,0,0,0,0,0,0,0,0,0,0
Martinique ,48.53,34.32,10.03,4.05,0,0,1.37,0,0,0,0,0,0,0,0,0,0
Guernsey ,54.9,20.91,9.09,10.72,0,0,1.98,0,0,0,0,0,0,0,0,0,0
Botswana ,55.34,25.25,11.63,2.58,0,1.04,2.8,0,0,0,0,0,0,0,0,0,0
Suriname ,59.94,23.29,7.3,0,0,1.41,4.94,0,0,0,0,0,0,0,0,0,0
Saint Lucia ,50.15,30.85,13.83,3.03,0,0,0,0,0,0,0,0,0,0,0,0,0
Cayman Islands ,52,24.42,10.43,9.74,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,2.7,72.97,8.57,24.32,0,0,0,0,0,0,0,0,0,0,0,0,0
Grenada ,51.86,28.25,14.31,2.7,0,0,1.84,0,0,0,0,0,0,0,0,0,0
Haiti ,66.28,20.2,7.54,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0
Fiji ,47.5,37.15,9.74,2.85,0,0,1.39,0,0,0,0,0,0,0,0,0,0
Afghanistan ,66.56,19.37,6.04,2.03,0,0,3.91,0,0,0,0,0,0,0,0,0,0
Saint Kitts and Nevis ,52.59,26.44,11.69,5.83,0,0,2.23,0,0,0,0,0,0,0,0,0,0
Andorra ,56.36,23.9,11.41,6.23,0,0,0,0,0,0,0,0,0,0,0,0,0
British Virgin Islands ,60.82,21.08,8.14,8.05,0,0,0,0,0,0,0,0,0,0,0,0,0
Guyana ,50.19,33.99,10.22,1.43,0,0,2.26,0,0,0,0,0,0,0,0,0,0
Cuba ,37.93,53.96,4.11,0,0,0,2.35,0,0,0,0,0,0,0,0,0,0
Cape Verde ,68.43,20.26,8.24,1.72,0,0,0,0,0,0,0,0,0,0,0,0,0
Djibouti ,72.96,15.77,7.3,1.54,0,0,1.45,0,0,0,0,0,0,0,0,0,0
Madagascar ,27.67,57.14,8.14,1.66,0,0,4.11,0,0,0,0,0,0,0,0,0,0
New Caledonia ,41.2,33.95,14.28,7.95,0,0,1.45,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda ,52.45,27.68,11.32,6.55,0,0,1.14,0,0,0,0,0,0,0,0,0,0
Uzbekistan ,24.76,24.51,6.8,1.18,0,1.28,39.62,0,0,0,0,0,0,0,0,0,0
Benin ,62.52,27.22,3.87,0,0,0,5.08,0,0,0,0,0,0,0,0,0,0
Zambia ,45.56,33.4,7.4,1.97,0,0,9.48,0,0,0,0,0,0,0,0,0,0
Burkina Faso ,57.87,29.25,5.49,0,0,0,5.35,0,0,0,0,0,0,0,0,0,0
Zimbabwe ,46.16,32.86,8.38,3.42,0,2.02,6.28,0,0,0,0,0,0,0,0,0,0
Northern Mariana Islands ,56.1,27.4,10.4,2.55,0,0,0,0,0,0,0,0,0,1.25,0,0,0
Saint Vincent and the Grenadines ,47.75,32.51,13.01,2.73,0,0,2.86,0,0,0,0,0,0,0,0,0,0
French Guiana ,47.96,38.1,9.7,2.64,0,0,0,0,0,0,0,0,0,0,0,0,0
Gibraltar ,51.77,33.42,8.26,3.46,0,0,0,0,0,0,0,0,0,0,0,0,0
Belize ,38.63,39.03,8.56,7.05,0,0,2.1,0,0,0,0,0,0,0,1.68,0,0
Mali ,57.45,28.38,5.35,1.82,0,1.12,4.42,0,0,0,0,0,0,0,0,0,0
