"Continent","IE","Chrome","Firefox","Safari","iPhone","Android","Opera","Yandex Browser","BlackBerry","UC Browser","Nokia","NetFront","Dolfin","Sogou Explorer","360 Safe Browser","Maxthon","QQ Browser","IEMobile","iPod Touch","Sony PS3","Samsung","Openwave Mobile Browser","Obigo","Unknown","Phantom","Silk","Midori"
Cambodia ,9.02,21.27,35.41,6.44,6.49,7.86,5.08,0,0,2.36,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Senegal ,18.63,28.33,42.37,3.23,1.09,2.24,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zimbabwe ,16.52,9.88,17.6,2.28,0,1.42,45.2,0,0,1.78,3.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luxembourg ,26.2,21.32,27.73,14.54,4.73,3.23,1.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brunei Darussalam ,9.38,25.35,19.14,8.07,3.34,10.68,16.48,0,0,1.5,4.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tanzania ,21.02,12.11,31.25,3.35,1.01,3.23,16.78,0,0,3.21,6.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bahamas ,30.7,32.42,11.83,14.29,1.89,3.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barbados ,22.66,39.41,22.88,7.28,0,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Reunion ,17.63,26.92,35.79,9.17,2.36,5.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ethiopia ,8.68,13.45,29.09,1.35,1.2,1.56,27.34,0,0,7.34,8.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uganda ,12.35,13.11,38.74,2.94,0,3.36,19.69,0,0,3.04,3.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Macao ,29.03,30.96,13.24,8.72,5.58,8.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zambia ,22.2,9.3,18.86,3.27,1.19,4.41,31.09,0,0,1.98,3.91,1.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maldives ,8.37,36.14,35.98,4.94,1.93,4.14,2.91,0,0,1.22,2.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Isle of Man ,43.29,20.13,12.73,17.22,2.76,2.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lao Peoples Democratic Republic ,15.14,19.13,21.95,4.47,3.97,3.81,17.82,0,0,1.87,10.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cameroon ,10.35,13.42,60.54,2.07,0,1.01,8.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cote dIvoire ,14.51,30.31,36.75,3.12,0,2.63,5.54,0,0,1.76,1.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Angola ,35.61,18.67,13.86,7.8,1.65,4.83,12.86,0,0,0,2.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands Antilles ,32.64,32.38,14.86,12.16,1.99,3.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uzbekistan ,7.03,24.05,14.43,2.15,1.83,3.24,38.25,0,0,1.27,5.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Suriname ,34.5,29.53,20.14,5.52,1.16,3.74,1.56,0,1.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guam ,22.73,30.51,14.58,16.5,4.67,6.71,0,0,0,0,0,0,0,0,0,0,0,0,2.21,0,0,0,0,0,0,0,0
Cuba ,12.98,10.89,73.07,0,0,0,1.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guadeloupe ,25.09,30.96,21.88,10.34,1.89,6.06,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chad ,0,0,0,0,0,1.13,2.01,0,0,0,55.5,5.79,0,0,0,0,0,0,0,0,16.63,9.65,3.6,1.75,1.03,0,0
Martinique ,28.57,33.27,21.05,7.15,1.72,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aruba ,34.46,28.04,14.24,13.43,3.02,4.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madagascar ,9.6,23.13,51.22,4.05,0,1.83,5.98,0,0,1.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guyana ,23.28,37.87,28.63,3.8,0,1.77,1.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kyrgyz Republic ,11.82,40.53,12.49,2.63,1.07,3.01,23.09,0,0,0,2.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mozambique ,26.39,18.23,17.44,4.96,0,2.88,18.01,0,0,2.84,6.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
