"Continent","Chrome","IE","Firefox","Safari","iPhone","Android","Yandex Browser","Opera","BlackBerry","UC Browser","Nokia","NetFront","Sogou Explorer","Maxthon","QQ Browser","360 Safe Browser","IEMobile","iPod Touch","Obigo","Phantom","Silk","Iron","Samsung","Openwave Mobile Browser","Sony PS3","Pale Moon"
Palestinian Territory ,49.29,14.13,27.06,1.39,1.31,3.08,0,1.41,0,0,1.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyprus ,42.27,23.63,19.04,7.11,1.88,3.52,0,1.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kenya ,17.64,8.45,34.06,3.11,0,3.45,0,24.41,0,2.58,4.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Estonia ,40.46,17.32,30.61,5.12,0,2.52,0,2.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Panama ,39.26,29.36,11.76,6.01,1.25,9.13,0,1.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kazakhstan ,43.81,10.72,17.1,3.52,1.78,3.59,1.83,14.99,0,0,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jamaica ,51.09,14.77,20.06,4.59,1.18,2.87,0,1.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Latvia ,43.48,12.22,32.12,4.22,0,2.05,0,3.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belarus ,33.91,8.8,20.31,1.87,0,1.76,1.19,29.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Moldova ,64.35,6.75,18.22,1.67,0,1.38,0,4.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Myanmar ,6.89,1.8,44.83,2.6,2.54,34.57,0,2.65,0,2.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Honduras ,46.53,18.45,18.87,4.67,2.13,3.99,0,1.81,1.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bahrain ,28.14,24.4,9.01,6.84,5.6,16.29,0,3.09,0,1.68,2.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yemen ,33.13,7.14,31.02,1.32,3.48,7.8,0,11.82,0,1.7,1.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sudan ,9.94,8.53,19.11,0,0,4.88,0,34.68,0,2.6,16.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lebanon ,31.1,17.2,14.3,8,5.92,15.26,0,3.13,0,0,2.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oman ,26.67,18.36,8.9,3.32,2.06,16.25,0,1.6,1.58,8.68,11.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
