"Continent","IE","Chrome","Safari","Firefox","iPhone","Android","360 Safe Browser","Yandex Browser","Opera","UC Browser","Nokia","NetFront","Unknown","BlackBerry","IEMobile","Sogou Explorer","Maxthon","QQ Browser","Sleipnir","CoRom+","Puffin","Openwave Mobile Browser","Chromium","iPod Touch","Obigo","Silk","Phantom","Samsung","Jasmine","SonyEricsson","Dolfin","Midori","Iron"
Algeria ,8.45,41.95,1.2,38.66,0,2.91,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albania ,6.48,57.47,2.84,19.28,4.24,3.6,0,0,2.94,0,1.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine ,9.44,36.64,3.4,22.95,0,1.56,0,3.01,19.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ecuador ,10.75,48.37,3.65,27.23,1.4,3.96,0,0,1.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kenya ,3.08,8.09,1.18,14.15,0,2.09,0,0,42.09,2.19,17.65,3.3,2.27,0,0,0,0,0,0,0,0,1.36,0,0,0,0,0,0,0,0,0,0,0
Macedonia ,4.56,60.11,1.22,25.95,1.35,3.06,0,0,2.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sri Lanka ,5.15,23.73,1.06,16.65,0,5.86,0,0,18.33,3.63,12.6,5.06,2.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Slovakia (Slovak Republic) ,10.57,45.68,3.1,28.29,0,3.28,0,0,6.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guatemala ,17,42.32,4.53,15.14,4.3,8.18,0,0,3.68,0,0,0,0,1.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Qatar ,16.4,40.78,6.83,9.17,2.88,6.94,0,0,9.85,3.18,2.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dominican Republic ,9.89,58.88,4.79,13.67,2.65,4.22,0,0,1.71,0,0,0,0,1.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Azerbaijan ,6.91,48.19,2.04,4.58,2.15,6.03,0,2.49,19.88,0,4.2,1.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uruguay ,9.62,56.91,2.05,23.18,0,2.56,0,0,1.32,0,1.02,0,0,0,0,0,0,0,0,0,0,0,1.36,0,0,0,0,0,0,0,0,0,0
Lithuania ,14.04,41.91,2.68,30.48,0,2.61,0,0,5.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Slovenia ,16.01,40.55,4.28,32.34,0,3.41,0,0,1.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nepal ,4.3,38.45,1.86,21.35,2.34,4.16,0,0,16.33,5.76,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordan ,10.05,49.48,3.03,11.6,2.75,11.09,0,0,5.1,0,4.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Georgia ,4.28,61.28,1.51,8.59,0,1.16,0,0,18.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bolivia ,17.57,38.42,2.42,27.24,2.21,6.64,0,0,2.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tanzania ,3.72,3.79,1.07,8.58,0,2.91,0,0,41.27,5.58,22.57,4.5,2.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Costa Rica ,12.79,39.58,5.64,15,3.42,8.2,0,0,6.05,0,6.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Puerto Rico ,18.94,36,10.68,13.6,5.5,11.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.43,0,0,0,0,0,0,0,0,0
Montenegro ,6.78,51.18,2.14,23.39,1.28,6.52,0,0,5.06,0,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
El Salvador ,13.62,48.21,3.82,20.57,1.79,4.59,0,0,3.49,0,0,0,0,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyprus ,20.47,46.11,7.1,16.97,1.9,3.85,0,0,2.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kuwait ,16.1,28.92,8.81,7.48,10.93,9.88,0,0,13.5,1.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paraguay ,9.13,45.04,1.35,20.58,0,5.65,0,0,6.04,0,8.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kazakhstan ,9.48,44.64,3.67,14.98,2.25,4.52,0,2.37,14.32,0,1.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trinidad and Tobago ,16.23,51.55,6.18,13.77,1.5,5.9,0,0,0,0,0,0,0,1.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Palestinian Territory ,12.12,51.33,1.89,23.8,1.63,4.51,0,0,1.55,0,1.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belarus ,8.77,34.02,3.24,18.4,0,2.16,0,2.12,28.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Estonia ,15.89,44.62,5.39,27.09,0,2.81,0,0,2.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Latvia ,12.29,44.61,4.32,30.26,0,2.31,0,0,3.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Moldova ,6.07,66.09,1.88,15.02,0,1.69,0,0,5.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jamaica ,12.7,49.81,4.64,17.02,1.45,4.77,0,0,2.49,1.11,0,0,0,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Panama ,22.79,42.12,6.74,11.53,1.62,10.45,0,0,1.34,0,1.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Armenia ,3.5,71.27,2.55,12.2,1.17,1.27,0,1.44,4.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sudan ,5.78,9.14,0,14.54,1.14,6.32,0,0,40.85,3.89,15.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zimbabwe ,8.66,8.83,1.47,11.79,0,1.68,0,0,54.65,2.92,7.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lebanon ,13.61,34.47,7.88,12.83,6.22,17.5,0,0,2.62,0,2.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yemen ,5.77,32.7,1.51,28.21,4.46,10.78,0,0,11.5,2.53,1.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oman ,12.67,25.68,2.7,6.76,2.76,24.11,0,0,1.79,6.15,13.27,0,0,1.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Honduras ,14.81,47.09,4.56,16.54,2.42,6.62,0,0,2.57,0,0,0,0,2.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
