"Continent","IE","Firefox","Chrome","Safari","Android","iPhone","BlackBerry","Opera","Nokia","Maxthon","UC Browser","Unknown","NetFront","iPod Touch","Bolt","Sony PS3","Windows Media Player","Mozilla"
Brunei Darussalam ,16.43,27.31,20.16,6.04,1.72,1.78,0,6.59,16.36,0,0,0,0,0,0,0,0,0
Luxembourg ,33.76,36.26,13.08,11.96,0,2.08,0,1.45,0,0,0,0,0,0,0,0,0,0
Senegal ,23.27,58.85,14.15,1.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Macao ,57.01,18.75,13.54,4.77,0,1.86,0,0,0,1.4,0,0,0,0,0,0,0,0
Lao Peoples Democratic Republic ,47,25.2,7.46,1.7,0,0,0,9.6,6.71,0,0,0,0,0,0,0,0,0
Mauritius ,26.16,38.61,26.01,2.57,0,0,0,4.33,1.16,0,0,0,0,0,0,0,0,0
Bermuda ,62.98,11.23,8.21,14.47,0,0,0,1.92,0,0,0,0,0,0,0,0,0,0
Cambodia ,29.15,40.1,11.83,3.29,0,1.9,0,6.42,3.99,0,0,0,1.46,0,0,0,0,0
Angola ,62.02,17.07,12.5,4.06,0,0,0,2.65,0,0,0,0,0,0,0,0,0,0
Faroe Islands ,58.34,14.1,17.19,6.88,0,1.38,0,0,0,0,0,0,0,0,0,0,0,0
Bahamas ,45.82,18.02,23.73,8.32,0,0,0,0,0,0,0,0,0,0,0,1.09,0,0
Barbados ,37.34,29.27,26.51,3.49,0,0,0,1.31,0,0,0,0,0,0,0,0,0,0
Netherlands Antilles ,53.91,19.7,17.61,5.58,0,0,0,1.21,0,0,0,0,0,0,0,0,0,0
Reunion ,25.91,44.08,17.3,7.69,1.12,1.12,0,1.32,0,0,0,0,0,0,0,0,0,0
Mozambique ,48.17,26.48,11.5,2.3,0,0,0,7.18,3.26,0,0,0,0,0,0,0,0,0
Tanzania ,42.06,27.88,9.58,3.35,0,0,0,12.86,2.46,0,0,0,0,0,0,0,0,0
Maldives ,18.91,50.76,19.56,3.06,0,0,0,2.68,2.85,0,0,0,0,0,0,0,0,0
Uganda ,31.22,47.03,10.51,2.28,0,0,0,6.03,1.37,0,0,0,0,0,0,0,0,0
Isle of Man ,52.92,17.8,14.3,10.28,0,1.6,0,1.04,0,0,0,0,0,0,0,0,0,0
Cameroon ,23.34,64.66,6.85,1.39,0,0,0,2.45,0,0,0,0,0,0,0,0,0,0
Guam ,36.02,24.06,23.72,9.37,1.11,2.1,0,0,0,0,0,0,0,1.19,0,0,0,0
Suriname ,55.46,23.15,13.42,1.65,0,0,0,3.62,0,0,0,0,0,0,0,0,0,0
Botswana ,45.43,23.64,16.53,2.05,0,0,0,8.14,2.12,0,0,0,0,0,0,0,0,0
Cote dIvoire ,34.34,42.21,17.06,1.64,0,0,0,2.82,1.02,0,0,0,0,0,0,0,0,0
Guadeloupe ,36.3,29.82,21.64,7.72,0,0,0,2.09,0,0,0,0,0,0,0,0,0,0
Ethiopia ,30.68,33.95,9.8,1.18,0,0,0,17.36,4.95,0,0,0,0,0,0,0,0,0
Namibia ,53.56,20.59,12.15,2.93,0,0,0,6.29,2.18,0,0,0,0,0,0,0,0,0
Jersey ,45.75,15.61,15,18.39,1.37,1.19,0,0,0,0,0,0,0,0,0,0,0,0
Martinique ,39.7,30.37,21.21,4.67,0,0,0,1.3,0,0,0,0,0,0,0,0,0,0
Aruba ,48.33,23.07,18.77,6.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cuba ,28.28,62.57,4.07,0,0,0,0,2.83,0,0,0,0,0,0,0,0,0,0
Guernsey ,47.5,16.93,14.03,15.07,0,1.74,0,1.54,0,0,0,0,0,1.01,0,0,0,0
Afghanistan ,54.51,27.36,9.47,2.43,0,0,0,4.67,0,0,0,0,0,0,0,0,0,0
Cayman Islands ,47.61,20.68,15.67,11.22,0,0,1.72,1.18,0,0,0,0,0,0,0,0,0,0
Fiji ,38.75,40.64,15.36,3.16,0,0,0,1.02,0,0,0,0,0,0,0,0,0,0
