"Continent","IE","Chrome","Safari","Firefox","iPhone","Android","Yandex Browser","Opera","BlackBerry","UC Browser","Nokia","NetFront","Sogou Explorer","Maxthon","QQ Browser","360 Safe Browser","CoRom+","Puffin","IEMobile","Chromium","iPod Touch","Silk","Phantom","Iron"
New Caledonia ,21.06,31.06,13.78,24.1,1.89,5.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,20.93,45.82,9.26,11.08,1.13,3.8,0,3.63,3.97,0,1.82,0,0,0,0,0,0,0,0,0,0,2.56,0,0
Northern Mariana Islands ,22.32,47.39,6.08,15.51,1.18,5.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grenada ,17.85,53.29,7.92,13.97,0,2.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0
Saint Lucia ,17.55,47.3,5.91,18.13,1.03,3.61,0,2.55,1.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guernsey ,25.32,22.98,25.37,9.52,8.08,4.02,0,0,0,0,0,0,0,0,0,0,0,0,2.33,0,0,0,0,0
Andorra ,24.96,33.25,17.28,14.69,2.54,5.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mali ,12.16,15.01,2.59,16.73,1.26,5.82,0,31.25,0,6.08,3.24,0,0,0,0,0,0,0,0,0,0,0,2.23,0
Benin ,6.47,31.61,1.3,23.47,0,3.82,0,21.59,0,5.98,3.05,0,0,0,0,0,0,0,0,0,0,0,0,0
Djibouti ,12.15,37.98,2.89,23.01,1.39,3.33,0,6.65,0,6.42,3.49,0,0,0,0,0,0,0,0,0,0,0,0,0
Gibraltar ,22.36,32.87,19.41,14.1,5.1,3.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Burkina Faso ,14.54,14.09,2.87,28.16,0,4.88,0,23.74,0,5.05,2.43,0,0,0,0,0,0,0,0,0,0,0,1.1,0
Niger ,11.38,10.35,2.41,13.62,0,3.73,0,39.77,0,7.06,8.09,0,0,0,0,0,0,0,0,0,0,0,0,0
Gabon ,23.7,22.43,6.71,23.3,1.34,4.07,0,13.3,0,1.04,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Kitts and Nevis ,17.33,47.5,12.18,15.34,1.37,2.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Monaco ,20.99,28.61,26.75,17.65,3.22,1.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Vincent and the Grenadines ,13.57,52.76,6.18,17.9,0,3.13,0,1.12,1.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gambia ,6.5,11.48,2.12,28.81,2.41,4.65,0,33.98,0,5.39,1.72,0,0,0,0,0,0,0,0,0,0,0,0,0
Turks and Caicos Islands ,21.66,42.37,12.74,10.22,2.27,4.37,0,0,1.45,0,0,0,0,0,0,0,0,0,0,0,0,1.94,0,0
Seychelles ,21.82,31.15,5.59,21.73,1.54,5.67,0,5.97,0,1.97,2.72,0,0,0,0,0,0,0,0,0,0,0,0,0
Guinea ,8.08,11.43,3.16,13.84,1.75,7.32,0,47.1,0,3.38,1.15,0,0,0,0,0,0,0,0,0,0,0,0,0
Liechtenstein ,34.27,17.7,17.33,19.08,6.74,3.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lesotho ,22.38,12.54,1.86,10.7,0,1.61,0,35.46,0,4.42,9,0,0,0,0,0,0,0,0,0,0,0,0,0
San Marino ,26.41,27.3,16.12,22.15,3.23,3.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
