"Continent","IE","Chrome","Firefox","Safari","Android","iPhone","Opera","UC Browser","Nokia","NetFront","Dolfin","BlackBerry","360 Safe Browser","Maxthon","QQ Browser","iPod Touch","Obigo","Silk","Windows Media Player","Chromium","Iron","Unknown","RockMelt","Mozilla"
Luxembourg ,28.33,19.28,31.22,12.78,2.02,3.73,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brunei Darussalam ,10.52,22.72,21.86,8.59,7.12,2.57,15.95,0,8.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bahamas ,34.86,32.78,13.44,10.67,1.89,1.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barbados ,25.29,38.17,24.97,5.63,1.2,0,1.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ethiopia ,11.69,13.65,36.62,1.29,0,0,25.14,2.76,5.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guyana ,61.63,18.23,15.88,1.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tanzania ,23.88,12.42,32.71,3.72,1.55,0,16.33,1.62,4.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uganda ,15.61,13.21,44.96,2.96,1.81,0,15.12,0,2.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lao Peoples Democratic Republic ,19.77,17.31,26.02,3.58,1.58,2.62,16.98,1.24,9.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Angola ,43.21,18.61,17.27,8.64,1.89,1.07,5.26,0,1.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Reunion ,18.35,26.27,37.77,8.58,3.53,2.37,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Macao ,33.56,24.93,15.53,9.03,6.52,4.86,0,0,0,0,0,0,2.19,0,0,0,0,0,0,0,0,0,0,0
Zimbabwe ,18.66,10.35,21.81,2.65,0,0,39.79,1.13,2.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maldives ,9.1,31.27,41.27,4.78,2.03,1.39,2.92,1.3,4.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands Antilles ,41.24,28.06,14.87,9.97,1.32,1.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cameroon ,12.69,11.92,65.4,1.65,0,0,5.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cote dIvoire ,15.27,29.48,41.28,2.41,1.21,0,5.26,0,1.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Suriname ,40.81,25.25,21.85,4.45,1.25,0,2.56,0,0,0,0,1.35,0,0,0,0,0,0,0,0,0,0,0,0
Uzbekistan ,7.4,20.54,13.66,2.08,1.64,1.3,46.31,0,5.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Isle of Man ,40.72,21.49,14.97,17.02,1.62,2.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guam ,24,31.46,17.34,14.75,3.77,3.5,0,0,0,0,0,0,0,0,0,3.25,0,0,0,0,0,0,0,0
Mozambique ,29.37,17.47,22.1,3.99,1.31,0,13.82,1.2,7.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guadeloupe ,27.34,31.58,23.1,9.91,3.2,1.12,1.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Namibia ,38.71,17.86,19.99,5.44,2.19,1.37,9.26,0,2.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madagascar ,9.7,22.05,56.44,2.93,0,0,3.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cuba ,15.97,8.25,71.9,0,0,0,2.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aruba ,37.24,29.05,15.2,11.3,2.71,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Martinique ,31.65,31.69,23.25,6.92,2.87,0,1.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fiji ,24.59,20.74,38.97,4.86,1.45,0,4.36,0,1.27,0,0,0,0,0,0,0,1.05,0,0,0,0,0,0,0
Afghanistan ,29.32,19.33,26.14,4.76,1.43,1.98,9.52,1.39,4.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jersey ,32.57,22.4,14.18,22.61,2.56,3.29,0,0,0,0,0,0,0,0,0,1.31,0,0,0,0,0,0,0,0
Togo ,12.49,9.56,71.61,1.17,0,0,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
