"Continent","IE","Firefox","Safari","Chrome","Opera","Mozilla","Maxthon","Nokia","BlackBerry","SeaMonkey","iPhone","NetFront","Samsung","AppleWebKit","Windows Media Player"
Antigua and Barbuda ,53.26,29.32,3.95,10.77,1.23,0,0,0,0,0,0,0,0,0,0
Northern Mariana Islands ,57.29,29.18,3.88,6.62,0,0,0,0,0,0,0,0,0,0,1.2
Gibraltar ,57.33,27.72,5.26,7.07,0,0,0,0,0,0,0,0,0,0,0
Turks and Caicos Islands ,53.87,31.9,5.79,6.15,0,1,0,0,0,0,0,0,0,0,0
Mauritania ,64.9,20.43,0,8.08,4.26,0,0,0,0,0,0,0,0,0,0
Sierra Leone ,71.02,24.27,0,1.52,2.3,0,0,0,0,0,0,0,0,0,0
Benin ,70.14,23.97,0,2.34,2.07,0,0,0,0,0,0,0,0,0,0
Saint Vincent and the Grenadines ,51.09,33.8,3.02,9.24,0,1.01,0,0,0,0,0,0,0,0,0
Belize ,45.13,42.96,3.05,5.26,1.09,0,0,0,0,0,0,0,0,0,0
Guyana ,50.86,35.37,1.08,6.02,3.34,0,0,0,0,0,0,0,0,0,0
New Caledonia ,44.03,36.23,8.86,7.47,1.45,0,0,0,0,0,0,0,0,0,0
Mali ,56.83,20.36,12.51,4.02,2.94,0,0,2.35,0,0,0,0,0,0,0
Dominica ,46.84,36.01,5.05,8.88,1.73,0,0,0,0,0,0,0,0,0,0
French Polynesia ,37.91,43.38,10.79,5.22,0,0,0,0,0,0,0,0,0,0,0
Togo ,72.55,23.72,0,1.66,0,0,0,0,0,0,0,0,0,0,0
Burkina Faso ,61.36,26.58,0,4.73,3.71,0,0,1.53,0,0,0,0,0,0,0
Somalia ,91.35,3.94,0,1.12,2.74,0,0,0,0,0,0,0,0,0,0
Liechtenstein ,44.2,41.23,9.62,2.78,1.02,0,0,0,0,0,0,0,0,0,0
Tajikistan ,43.39,18.76,0,1.94,34.21,0,0,0,0,0,0,0,0,0,0
Kyrgyz Republic ,49.92,15.57,0,4.82,26.54,0,0,1.18,0,0,0,0,0,0,0
Congo (Democratic Republic of the),59.06,26.57,1.33,5.15,5.59,0,0,1.11,0,0,0,0,0,0,0
British Virgin Islands ,59.77,23.83,8.31,5.25,0,0,0,0,0,0,0,0,0,0,0
Malawi ,57.46,18.43,1.74,3.32,15.51,0,0,1.84,0,0,0,0,0,0,0
Rwanda ,39.45,45.02,1.89,6.58,4.23,0,0,1.23,0,0,0,0,0,0,0
Liberia ,72.27,14.72,0,2.75,5.85,0,0,2.21,0,0,0,0,0,0,0
Monaco ,49.48,30.86,11.92,5.07,0,0,0,0,0,0,0,0,0,0,0
Papua New Guinea ,70.29,18.79,1.15,7.71,0,1.08,0,0,0,0,0,0,0,0,0
Greenland ,65.14,24.16,5.7,3.42,0,0,0,0,0,0,0,0,0,0,0
Bhutan ,58.45,25.77,3.67,8.46,2.16,0,0,0,0,0,0,0,0,0,0
Lesotho ,63.38,23.07,0,6.72,5.45,0,0,0,0,0,0,0,0,0,0
Gabon ,58.13,20.81,2.22,4.94,6.37,0,0,1.35,0,0,0,0,0,0,4.24
San Marino ,51.37,30.98,9.51,6.81,0,0,0,0,0,0,0,0,0,0,0
Anguilla ,63.77,22.27,3.7,7.23,0,0,0,0,0,0,0,0,0,0,0
Seychelles ,52.48,34.29,2.94,5.65,2.77,0,0,0,0,0,0,0,0,0,0
Swaziland ,55.5,13.91,0,4.1,17.04,1.21,0,5.78,0,0,0,0,0,0,0
Niger ,59.37,30.52,1.05,3.05,3.11,0,0,1.85,0,0,0,0,0,0,0
Gambia ,42.17,46.78,1.34,3.01,4.61,0,0,0,0,0,0,0,0,0,0
Turkmenistan ,52.88,16.42,0,2.3,26,0,0,1.12,0,0,0,0,0,0,0
Palau ,17.87,71.17,2.38,4.57,0,0,0,0,0,0,0,0,0,0,3.25
Equatorial Guinea ,68.9,13.28,6.31,3.63,1.82,0,0,3.3,0,0,0,0,0,0,0
American Samoa ,48.08,29.92,13.78,6.3,0,0,0,0,0,0,0,0,0,0,0
Vanuatu ,50.75,33.46,1.87,10.45,1.18,1.43,0,0,0,0,0,0,0,0,0
Solomon Islands ,72.52,17.09,3.73,4.42,0,0,0,0,0,0,0,0,0,0,1.26
Montserrat ,64.7,21.92,3.65,7.74,0,0,0,0,0,0,0,0,0,0,0
Cook Islands ,64.71,22.85,6.23,3.83,0,0,1.69,0,0,0,0,0,0,0,0
Guinea ,63.32,31.9,0,0,2.36,0,0,0,0,0,0,0,0,0,0
Micronesia ,69.98,24.62,2.18,1.11,0,1.08,0,0,0,0,0,0,0,0,0
Saint Pierre and Miquelon ,47.59,42.58,3.99,1.74,3.39,0,0,0,0,0,0,0,0,0,0
Eritrea ,66.11,29.14,0,2.75,1.45,0,0,0,0,0,0,0,0,0,0
Falkland Islands (Malvinas) ,71.86,22.74,2.56,1.69,0,0,0,0,0,0,0,0,0,0,0
Holy See (Vatican City State) ,58.55,33.47,2.8,3.39,1.78,0,0,0,0,0,0,0,0,0,0
Samoa ,58.61,23.67,4.46,5.97,5.75,0,0,0,0,0,0,0,0,0,0
Burundi ,45.51,42.72,4.29,3.13,2.21,0,0,0,0,0,0,0,0,0,0
Sao Tome and Principe ,84.54,11.41,0,2.73,0,0,0,0,0,0,0,0,0,0,0
Congo (Republic of the),56.07,23.02,1.23,2.72,12.52,0,0,2.17,0,0,0,1.04,0,0,0
Kiribati ,23.97,40.75,0,34.19,0,0,0,0,0,0,0,0,0,0,0
Tonga ,41.09,42.32,5.78,5.47,0,0,0,3.28,0,0,0,0,0,0,0
Marshall Islands ,48.82,45.24,2.94,1.53,0,0,0,0,0,0,0,0,0,0,0
Central African Republic ,59.52,20.48,1.35,11.25,1.99,3.59,0,0,0,0,0,0,0,0,0
Guinea-Bissau ,79.69,19.12,0,0,0,0,0,0,0,0,0,0,0,0,0
Chad ,52.87,35.52,0,1.91,3.59,0,2.7,2.54,0,0,0,0,0,0,0
Comoros ,59.15,27.72,3.52,1.66,7.28,0,0,0,0,0,0,0,0,0,0
Mayotte ,46.37,41.31,5.76,5.35,0,0,0,0,0,0,0,0,0,0,0
Wallis and Futuna ,34.62,42.47,10.58,10.77,0,1.37,0,0,0,0,0,0,0,0,0
Tuvalu ,32.95,59.44,0,7.37,0,0,0,0,0,0,0,0,0,0,0
Niue ,55.08,43.9,0,0,0,0,0,0,0,0,0,0,0,0,0
