"Continent","IE","Chrome","Firefox","Safari","Android","iPhone","Opera","UC Browser","Nokia","NetFront","Dolfin","BlackBerry","360 Safe Browser","Sogou Explorer","Maxthon","QQ Browser","IEMobile","iPod Touch","SeaMonkey","Sony PS3","Nintendo 3DS","Obigo","Silk","Samsung","Unknown"
Bermuda ,52.03,13.26,10.48,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luxembourg ,27.89,19.21,30.52,13.26,2.53,4.02,1.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brunei Darussalam ,9.48,21.63,20.78,8.69,8.8,2.77,17.4,0,7.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barbados ,24.69,38.25,25.02,5.54,1.36,0,1.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tanzania ,23.16,11.72,32.37,3.79,1.99,0,17.48,1.55,5.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ethiopia ,11.07,12.61,33.26,1.33,0,0,29.37,2.49,6.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bahamas ,33.78,31.76,14.02,11.55,2.31,1.31,1.07,0,0,0,0,0,0,0,0,0,0,0,0,1.15,0,0,0,0,0
Guyana ,60.78,18.62,16.24,1.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uganda ,14.4,12.83,43.96,2.86,1.91,0,17.39,1.05,3.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Macao ,33.3,26.22,15.58,8.25,7.03,4.25,0,0,0,0,0,0,1.68,0,0,0,0,0,0,0,0,0,0,0,0
Zimbabwe ,18.77,9.49,20.35,2.81,1.05,0,41.13,1.14,3.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Angola ,43.33,18.34,16.46,9.29,2.18,1,4.93,0,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lao Peoples Democratic Republic ,18.83,18.35,25.31,3.7,1.82,2.28,17.26,0,10.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Reunion ,19.98,25.62,37.27,9.01,3.05,2.17,1.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maldives ,9.18,33.28,38.31,5.16,2.36,1.45,3.24,1.1,4.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cote dIvoire ,15.61,29.76,40.74,2.48,1.4,0,5.17,0,1.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands Antilles ,40.32,27.86,14.84,10.33,1.68,1.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cameroon ,12.11,12.51,62.89,1.61,0,0,6.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Isle of Man ,41.01,22.3,15.16,15.8,1.63,2.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Suriname ,39.11,27.24,21.12,4.82,1.43,0,2.42,0,0,0,0,1.35,0,0,0,0,0,0,0,0,0,0,0,0,0
Uzbekistan ,7.61,22.68,15.42,1.77,1.86,1.44,42.8,0,4.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guam ,24.07,32.81,16.94,13.53,4.23,3.8,0,0,0,0,0,0,0,0,0,0,0,2.51,0,0,0,0,0,0,0
Guadeloupe ,27.54,31.03,22.35,9.87,4.14,1.37,1.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mozambique ,29.13,16.26,21.28,3.97,1.51,0,15.61,1.06,8.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Namibia ,38.98,17.87,19.32,5.28,2.64,1.43,9.6,0,2.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cuba ,16.92,7.62,71.06,0,0,0,2.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Martinique ,29.28,32.87,23.16,7.31,2.81,0,1.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madagascar ,10.08,22.86,54.4,3.14,1.1,0,4.25,0,1.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aruba ,36.34,29.27,14.1,11.93,4.08,1.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grenada ,29.23,39.49,20.62,6.03,0,0,1.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Botswana ,36.39,21.04,25.9,4.37,1.22,0,4.89,0,2.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Afghanistan ,30.05,18.12,24.81,4.71,1.52,2.47,10.67,1.32,4.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fiji ,24.2,22.15,37.84,5.58,1.4,0,3.87,0,1.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jersey ,32.51,22.61,12.94,23.23,3.43,3.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zambia ,22.56,11.41,23.56,4.13,2.33,0,28.83,1.25,2.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Lucia ,26.26,39.72,23.71,5.36,0,0,1.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guernsey ,33.73,21.19,13.04,20.46,2.92,6.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malawi ,28.65,8.7,19.37,2.36,1.42,0,31.11,1.42,3.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haiti ,34.34,26.61,20.58,7.25,1.55,1.19,4.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,100,24.07,20,7.1,8.16,3.17,8.41,0,0,0,0,1.09,0,0,0,0,0,1.11,0,0,1.55,0,0,0,0
French Polynesia ,18.54,23.38,36.66,16.65,1.47,1.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Togo ,12.95,11.9,63.84,5.13,0,0,2.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cayman Islands ,32.44,28.13,16.81,16.59,1.27,1.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kyrgyz Republic ,14.87,29.41,14.27,4.49,1.58,0,31.46,0,1.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Vincent and the Grenadines ,24,41.96,24.93,4.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
French Guiana ,38,24.99,22.96,4.73,4.3,1.24,1.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rwanda ,19.66,16.47,41.87,4.42,1.31,0,12.17,0,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belize ,23.65,28.97,33.89,5.72,2.28,1.52,1.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andorra ,35.99,28.59,17.47,11.76,2.78,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Caledonia ,26.46,24.66,30.58,13.71,1.64,1.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Mariana Islands ,30,43.26,16.42,3.64,4.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Somalia ,9.35,9.61,12.49,0,0,0,59.86,3.33,3.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Benin ,13.57,33.72,41.82,1.22,0,0,5.63,0,1.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Kitts and Nevis ,26.92,40.81,19.84,7.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Papua New Guinea ,20.56,7.33,8.87,2.42,5.55,0,36.94,2.04,9.14,0,0,0,0,0,0,0,0,0,0,0,0,4.28,0,0,0
Antigua and Barbuda ,29.48,32.03,23.35,9.45,1.24,1.15,1.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dominica ,27.83,40.19,19.91,5.92,0,0,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauritania ,12.66,41.07,32.12,1.75,0,0,4.21,0,4.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
