"Continent","IE","Firefox","Chrome","Safari","Android","iPhone","Opera","Nokia","BlackBerry","Maxthon","UC Browser","NetFront","iPod Touch","Sony PS3","Chromium","Iron","Obigo","Flock","Windows Media Player"
Grenada ,33.73,22.23,37.26,4.43,0,0,1.31,0,0,0,0,0,0,0,0,0,0,0,0
Saint Vincent and the Grenadines ,26.24,19.54,48.9,2.92,0,0,1.15,0,0,0,0,0,0,0,0,0,0,0,0
Haiti ,45.39,21.19,16.57,5.56,0,0,5.53,0,0,0,0,1.78,0,0,0,0,0,0,0
Cayman Islands ,42.42,20.87,19.68,13.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zambia ,34.98,26.86,10.53,2.92,0,0,20.6,1.15,0,0,0,0,0,0,0,0,0,0,0
Saint Lucia ,35.9,25.51,31.37,3.79,0,0,1.98,0,0,0,0,0,0,0,0,0,0,0,0
Guyana ,34.65,33.48,26.11,1.83,0,0,2.01,0,0,0,0,0,0,0,0,0,0,0,0
French Polynesia ,25.93,38.88,20.31,12.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malawi ,36.16,18.44,7.17,1.88,0,0,28.87,3.37,0,0,1.01,0,0,0,0,0,0,0,0
Belize ,33.41,36.51,22.38,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seychelles ,42.58,31.49,18.16,3.29,0,0,2.61,0,0,0,0,0,0,0,0,0,0,0,0
Andorra ,42.48,21.04,22.46,10.47,1.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Caledonia ,30.16,31.77,22.37,12.52,0,0,1.2,0,0,0,0,0,0,0,0,0,0,0,0
Cape Verde ,51.32,20.34,23.5,2.61,0,0,1.33,0,0,0,0,0,0,0,0,0,0,0,0
French Guiana ,33.76,34.49,24.29,4.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Benin ,35.49,42.3,16.03,1.89,0,0,2.98,0,0,0,0,0,0,0,0,0,0,0,0
Saint Kitts and Nevis ,33.65,25.45,29.14,7.95,0,0,0,0,0,0,0,0,0,0,1.6,0,0,0,0
Antigua and Barbuda ,36.93,23.51,26.42,8.59,0,0,2.16,0,0,0,0,0,0,0,0,0,0,0,0
Gibraltar ,40.99,23.69,23.66,8.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Monaco ,36.86,20.13,20.12,18.18,0,0,2.54,0,0,0,0,0,0,0,0,0,0,0,0
Rwanda ,24.36,45.57,15.4,4.14,0,0,6.78,1.38,0,0,0,0,0,0,0,0,0,0,0
