"Continent","IE","Chrome","Firefox","Safari","iPhone","Android","Opera","Yandex Browser","BlackBerry","UC Browser","Nokia","NetFront","Sogou Explorer","360 Safe Browser","Maxthon","QQ Browser","IEMobile","iPod Touch","Silk","Samsung","Openwave Mobile Browser","Obigo","Unknown","Midori","Iron","Maemo browser","Sony PS3"
Lao Peoples Democratic Republic ,13.91,20.87,21.42,4.69,4.35,4.15,17.33,0,0,1.51,10.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chad ,0,0,0,0,0,0,3.2,0,0,0,48.34,6.6,0,0,0,0,0,0,0,17.85,15.04,3.02,1.57,0,0,0,0
Angola ,31.11,18.82,12.84,8.24,2.12,5.99,15.96,0,0,0,2.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands Antilles ,31.95,33.52,13.66,12.37,1.99,3.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zambia ,21.54,10.5,19.54,3.43,1.25,4.6,30.35,0,0,2.15,3.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uzbekistan ,6.97,24.9,14.45,2.2,2.24,3.59,37.09,0,0,1.34,5.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Suriname ,34.29,29.41,19.89,5.45,1.28,4.17,1.78,0,1.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guadeloupe ,24.11,32.26,21.02,12.25,1.76,5.65,1.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cuba ,13.74,10.83,72.09,0,0,0,1.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guam ,23.11,29.66,13.55,16.82,5.29,7.2,0,0,0,0,0,0,0,0,0,0,0,2.06,0,0,0,0,0,0,0,0,0
