"Continent","IE","Chrome","Firefox","Safari","iPhone","Android","Opera","Nokia","UC Browser","NetFront","Dolfin","Sogou Explorer","360 Safe Browser","Maxthon","QQ Browser","BlackBerry","Yandex Browser","IEMobile","iPod Touch","Sony PS3","Obigo","Samsung","Phantom","Openwave Mobile Browser","Unknown","Iron","Maemo browser","RockMelt","Pale Moon"
Georgia ,5.92,54.6,12.24,1.49,0,0,23.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Puerto Rico ,25.43,29.85,14.74,10.04,4.52,10.7,0,0,0,0,0,0,0,0,0,0,0,0,1.68,1.03,0,0,0,0,0,0,0,0,0
Bolivia ,28.36,30.87,31.33,2.85,0,2.72,1.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montenegro ,9.63,48.51,30.12,1.85,0,2.41,5.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paraguay ,17.77,44.45,24.25,1.29,0,4.06,3.84,2.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
El Salvador ,19.29,45.64,24.12,2.74,0,2.04,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belarus ,10.06,29.18,20.13,1.78,0,1.17,34.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kuwait ,25.73,22.65,9.87,7.73,9.59,8.83,9.74,1.77,0,0,0,0,0,0,0,2.19,0,0,0,0,0,0,0,0,0,0,0,0,0
Latvia ,14.56,37.97,36.08,3.46,0,1.68,4.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Moldova ,8.61,59.37,21.29,1.66,0,0,6.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Palestinian Territory ,21.04,43.79,28.16,1.06,0,1.56,1.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
