"Continent","Chrome","IE","Firefox","Safari","iPhone","Android","360 Safe Browser","Yandex Browser","Opera","IEMobile","UC Browser","Nokia","NetFront","Unknown","BlackBerry","Sogou Explorer","QQ Browser","Maxthon","Chromium","CoRom+","Phantom","Puffin","iPod Touch","SonyEricsson","Obigo","Openwave Mobile Browser","Silk","Iron","Kindle","Mozilla","Iceweasel"
Sudan ,9.65,4.9,13.98,0,1.09,9.82,0,0,39.65,0,4.08,14.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belarus ,38.17,7.72,15.25,2.3,1.03,3.75,0,2.47,27.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yemen ,33.18,4.58,23.78,1.34,4.56,13.6,0,0,12.65,0,4.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Panama ,44.32,18.4,10,7.7,2.28,13.43,0,0,1.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oman ,27.02,11.48,5.55,2.8,3.37,22.5,0,0,1.14,0,10.88,12.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bahrain ,35.04,17.52,7.09,5.8,6.4,17.57,0,0,3.6,0,3.36,1.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Moldova ,62.54,5.75,17.74,2.11,1.12,2.15,0,1.06,5.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Myanmar ,11.35,1.4,39.02,3.72,4.54,35.27,0,0,1.36,0,1.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lebanon ,35.39,11.7,11.45,8.36,7.38,19.09,0,0,2.77,0,1.23,1.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malta ,52.22,13.5,16.18,8.59,2.44,4.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Honduras ,50.12,11.69,14.49,5.25,2.85,8.97,0,0,2.25,0,0,0,0,0,2.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iceland ,53.31,9.98,15.99,13.84,2.69,1.75,0,0,1.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Armenia ,61.92,3.28,20.73,2.92,1.55,1.91,0,1.36,4.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zimbabwe ,9.74,8.19,11.46,1.47,0,2.92,0,0,53.4,1.89,2.47,6.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Senegal ,37.15,11.28,33.25,2.98,1.67,6.19,0,0,2.86,0,0,1.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nicaragua ,48.59,9.72,20.07,3.19,1.72,5.18,0,0,4.38,0,1.16,2.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Libya ,37.04,7.23,14.51,2.94,3.18,11.19,0,0,15.21,0,1.15,6.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauritius ,44.05,9.72,19.25,5.06,1.59,7.2,0,0,6.57,0,1.07,2.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cambodia ,24.49,3.03,24.01,7.87,15.47,16.25,0,0,2.24,0,2.04,2.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ghana ,15.84,4.9,26.71,2.49,1.19,6.78,0,0,26.34,0,9.12,3.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barbados ,49.81,14.98,14.28,7.96,1.41,5.22,0,0,1.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
