"Continent","IE","Firefox","Chrome","Safari","Android","iPhone","BlackBerry","Opera","Nokia","Maxthon","UC Browser","NetFront","iPod Touch","Bolt","Sony PS3","Mozilla","Obigo","Windows Media Player","SeaMonkey","Chromium"
Djibouti ,50.16,24.5,17.07,1.97,0,0,0,3.73,0,0,0,0,0,0,0,0,0,0,0,0
Northern Mariana Islands ,38.99,19.59,34.42,2.64,1.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gibraltar ,42.72,24.6,22.15,7.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seychelles ,41.75,31.53,16.84,3.79,0,0,0,3.98,0,0,0,0,0,0,0,0,0,0,0,0
Rwanda ,24.38,47.84,14.31,2.99,0,0,0,7.51,1.46,0,0,0,0,0,0,0,0,0,0,0
Dominica ,35.27,24.13,32.15,5.71,0,0,0,1.82,0,0,0,0,0,0,0,0,0,0,0,0
Monaco ,40.18,22.64,12.16,20.49,0,1.03,0,1.94,0,0,0,0,0,0,0,0,0,0,0,0
Liechtenstein ,46.6,30.54,7.69,11.45,0,1.05,0,1.34,0,0,0,0,0,0,0,0,0,0,0,0
British Virgin Islands ,51.65,17.98,16.76,10.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Papua New Guinea ,46.9,13.46,7,2.81,0,0,0,17.16,5.34,0,0,1.1,0,0,0,0,3.74,0,0,0
Burkina Faso ,44.99,36.04,9.65,1.36,0,0,0,5.66,0,0,0,0,0,0,0,0,0,0,0,0
Mali ,41.84,34.85,12.54,2.54,0,0,0,4.42,1.76,0,0,0,0,0,0,0,0,0,0,0
Mauritania ,29.8,28.53,27.97,1.16,0,0,0,6.7,3.57,0,0,0,0,0,0,0,0,0,0,0
Togo ,33.48,55.67,6.37,0,0,0,0,2.09,0,0,0,0,0,0,0,0,0,0,0,0
Kyrgyz Republic ,24.01,18.99,16.47,4.18,0,0,0,34.03,0,0,0,0,0,0,0,0,0,0,0,0
Turks and Caicos Islands ,42.66,20.63,21.8,10.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bhutan ,32.7,31.44,27.98,2.65,0,0,0,3.71,0,0,0,0,0,0,0,0,0,0,0,0
Gambia ,23.04,53.38,8.56,2.6,0,0,0,7.38,2.05,0,0,0,0,0,0,0,0,0,0,0
Lesotho ,57.44,19.92,9.91,1.5,0,0,0,8.23,1.64,0,0,0,0,0,0,0,0,0,0,0
Gabon ,39.89,31.15,12.58,6.29,0,0,0,6.74,0,0,0,0,0,0,0,0,0,0,0,0
Greenland ,57.47,17.81,10.06,10.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anguilla ,56.58,16.81,16.17,7,0,0,1.02,0,0,0,0,0,0,0,0,0,0,0,0,0
Tajikistan ,25.78,18.74,18.55,1.62,0,0,0,32.97,0,0,0,0,0,0,0,0,0,0,0,0
San Marino ,40.32,31.05,17.51,9.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Swaziland ,50.78,17.7,10.19,2.27,0,0,0,15.4,2.66,0,0,0,0,0,0,0,0,0,0,0
Timor-Leste ,27.95,44.95,12.75,4,0,0,0,3.49,4.46,0,0,0,0,0,0,0,0,0,0,0
Equatorial Guinea ,60.7,19.11,7.59,1.2,0,0,0,7.71,2.07,0,0,0,0,0,0,0,0,0,0,0
Somalia ,46.34,22.39,13.54,0,0,0,0,15.13,1.51,0,0,0,0,0,0,0,0,0,0,0
American Samoa ,33.79,39.13,17.9,6.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Liberia ,50.99,26.39,14.39,4.98,0,0,0,1.69,0,0,0,0,0,0,0,0,0,0,0,0
Niger ,35.35,26.59,7.72,2.35,0,0,0,14.57,9.21,0,0,1.41,0,0,0,0,0,0,0,0
Sierra Leone ,40.01,34.22,5.28,2.43,0,0,0,13.83,2.22,0,0,0,0,0,0,0,0,0,0,0
Turkmenistan ,32.39,17.57,11.79,1.63,1.21,1.41,0,27.25,4.5,0,0,0,0,0,0,0,0,0,0,0
Vanuatu ,44.58,31.61,14.16,6.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Solomon Islands ,49.32,16.84,8.85,4.23,0,0,0,13.25,4.91,0,0,0,0,0,0,0,0,0,0,0
Congo (Republic of the),40.49,33.89,7.46,3.54,0,0,0,9.11,1.68,0,0,0,0,0,0,0,0,0,0,0
Tonga ,26.55,58.06,7.88,4.18,0,0,0,0,0,0,0,0,1.64,0,0,0,0,0,0,0
Micronesia ,40.63,34.04,16.19,4.87,0,0,0,0,0,0,0,0,0,0,0,0,0,1.89,0,0
Samoa ,48.91,30.31,11.74,3.87,0,0,0,2.12,0,0,0,0,0,0,0,0,0,0,0,0
Burundi ,40.9,38.09,9.9,2.4,0,0,0,5.56,2.22,0,0,0,0,0,0,0,0,0,0,0
Saint Pierre and Miquelon ,39.23,34.49,20.08,5.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cook Islands ,52.75,23.79,14.68,7.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Falkland Islands (Malvinas) ,64.26,16.98,9.33,8.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Holy See (Vatican City State) ,63.62,26.94,7.08,2.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guinea ,45.11,30.8,14.28,2.45,0,0,0,3.37,0,0,0,0,0,0,0,0,0,0,0,0
Eritrea ,48.51,44.5,2.19,0,0,0,0,4.17,0,0,0,0,0,0,0,0,0,0,0,0
Montserrat ,41.63,21.5,31.35,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Palau ,42.83,28.86,17.08,8.67,0,0,0,0,0,0,0,0,0,0,0,0,0,1.02,0,0
Marshall Islands ,40.22,32.39,14.89,6.92,0,0,0,0,0,0,0,0,1.63,0,0,0,0,2.51,0,0
Sao Tome and Principe ,60.18,19.47,14.89,2.6,0,0,0,1.09,1.53,0,0,0,0,0,0,0,0,0,0,0
Guinea-Bissau ,63.09,19.74,10.84,3.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kiribati ,35.08,52.95,8.78,1.28,0,0,0,1.02,0,0,0,0,0,0,0,0,0,0,0,0
Saint Helena ,83.1,8.63,7.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Central African Republic ,49.85,24.52,18.82,2.56,0,1.05,0,2.27,0,0,0,0,0,0,0,0,0,0,0,0
Comoros ,49.24,28.17,16.36,1.51,0,0,0,1.6,0,0,0,0,0,0,0,0,0,0,1.45,0
Mayotte ,54.59,28.17,10.42,4.06,0,0,0,1.49,0,0,0,0,0,0,0,0,0,0,0,0
Chad ,28.69,21.12,5.52,1.8,0,0,0,25,9.21,4.54,0,1.55,0,0,0,0,0,0,0,0
Niue ,25.46,45.13,21.19,5.32,0,0,0,1.25,0,0,0,0,1.32,0,0,0,0,0,0,0
Wallis and Futuna ,21.06,41.76,29.48,6.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North Korea ,48.41,42.67,4.05,1.36,0,0,0,1.11,0,2.13,0,0,0,0,0,0,0,0,0,0
Tuvalu ,16.09,57.33,7.02,19.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nauru ,11.2,69.47,17.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.68
Christmas Island ,39.13,47.83,13.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
