"Continent","Chrome","IE","Firefox","Safari","iPhone","Android","Yandex Browser","Opera","UC Browser","Nokia","NetFront","BlackBerry","Sogou Explorer","Maxthon","QQ Browser","360 Safe Browser","CoRom+","IEMobile","iPod Touch","Sony PS3","Silk","Obigo","Phantom","Iron","Openwave Mobile Browser","Iceweasel"
Haiti ,30.99,24.06,17.44,8.07,2.59,4.78,0,5.22,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malawi ,12.7,17.08,17.19,2.44,0,3.42,0,35.03,5.61,3.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Benin ,47.62,7.42,25.31,1.33,0,2.23,0,7.97,3.6,2.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Botswana ,26.91,25.25,22.52,5.5,1.12,3.2,0,5.22,3.52,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauritania ,40.97,8.96,22.27,2.37,1.29,2.38,0,9.21,2.49,7.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
French Guiana ,40.72,19.12,25,5.63,1.16,5.62,0,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jersey ,25.1,25.36,14.96,25.82,4.6,1.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belize ,34.5,17.19,25.68,6.95,4.31,7.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Mariana Islands ,53.16,21.82,12.56,5.37,0,4.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grenada ,49.37,20.14,16.23,6.14,0,2.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.05,0,0,0,0,0
Bhutan ,36.31,8.52,18.82,5.8,1.1,2.71,0,9.13,8.09,6.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,35.71,29.9,50,16.1,2.03,1.97,0,1.12,0,0,0,1.97,0,0,0,0,0,0,0,1.75,2.46,0,0,0,0,14.29
Cape Verde ,47.76,24.79,17.38,3.88,0,1.9,0,1.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Caledonia ,30.16,20.24,25.63,14.56,1.87,5.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
French Polynesia ,29.89,14.42,30.16,16.99,2.51,3.5,0,0,0,0,0,0,0,0,0,0,0,0,1.35,0,0,0,0,0,0,0
Rwanda ,22.15,9.99,37.84,4.15,0,2.26,0,14.45,4.28,1.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mali ,14.43,21.25,25.97,3.77,0,4.11,0,14.81,4.87,4.85,0,0,0,0,0,0,0,0,0,0,0,0,1.75,0,0,0
Guernsey ,22.78,25.99,10.72,25.56,6.58,4.11,0,0,0,0,0,0,0,0,0,0,0,1.91,0,0,0,0,0,0,0,0
Andorra ,37.39,24.42,14.88,13.87,2.52,5.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tajikistan ,36.19,13.07,8.49,2.95,2.2,5.03,1.42,23.31,1.67,3.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Vincent and the Grenadines ,49.66,17.67,19.27,5.64,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Kitts and Nevis ,48.16,18.67,14.97,11.88,1.15,1.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Congo (Democratic Republic of the),12.61,12.02,17.91,3.92,1.33,6.56,0,31.69,5.69,4.02,1.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
