"Continent","Chrome","IE","Safari","Firefox","iPhone","Android","360 Safe Browser","Yandex Browser","Opera","UC Browser","Nokia","NetFront","Unknown","BlackBerry","IEMobile","Puffin","Sogou Explorer","QQ Browser","Maxthon","Sleipnir","CoRom+","SonyEricsson","Openwave Mobile Browser","Chromium","iPod Touch","Obigo","Silk","Samsung","Jasmine","Phantom","Dolfin","Iron","Maemo browser","Sony PS3","Links"
Montenegro ,52.27,5.89,2.13,23.01,1.36,6.85,0,0,4.91,0,1.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Costa Rica ,39.25,11.88,5.82,13.75,3.69,10.53,0,0,5.89,0,6.08,0,0,0,1.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kuwait ,28.7,14.8,8.11,9.28,10.83,9.11,0,0,14.96,1.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
El Salvador ,47.13,12.69,3.91,20.21,1.98,5.69,0,0,4.17,0,0,0,0,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyprus ,46.8,18.92,7.58,17.03,2.01,4.14,0,0,2.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nepal ,32.69,3.46,1.79,17.9,2.05,5.28,0,0,20.96,8.17,4.41,1.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trinidad and Tobago ,52.63,14.52,6.03,13.35,1.63,6.57,0,0,1.02,0,0,0,0,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paraguay ,44.76,8.82,1.34,19.72,0,7,0,0,6.07,0,8.24,0,0,0,1.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kazakhstan ,44.65,10.5,3.27,13.27,2.51,5.22,0,2.37,14.36,0,1.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Latvia ,44.48,11.77,4.2,30.4,0,2.8,0,0,3.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Estonia ,43.98,15.88,5.45,27.11,0,2.89,0,0,2.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Moldova ,64.59,7.38,1.64,15.05,0,1.89,0,1.09,5.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jamaica ,50.24,12.12,4.66,16.41,1.6,5.97,0,0,2.54,0,0,0,0,1.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Palestinian Territory ,50.31,12.08,1.8,23.34,2,5.79,0,0,1.63,0,1.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belarus ,33.58,10.75,1.96,16.82,0,2.45,0,2.1,29.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sudan ,8.93,5.23,0,14,1.23,7.56,0,0,40.72,3.37,16.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yemen ,32.22,5.49,1.52,27.42,4.69,12.21,0,0,11.26,2.72,1.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Panama ,41.37,22.35,6.77,10.61,1.87,12.38,0,0,1.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Armenia ,70.72,3.7,2.74,11.68,1.2,1.56,0,1.51,4.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oman ,25.51,12.84,2.7,6.52,2.86,24.01,0,0,1.92,6.09,13.74,0,0,1.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lebanon ,33.23,13.43,7.86,12.01,6.88,19.24,0,0,2.69,0,2.13,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bahrain ,29.86,18.63,5.88,7.42,5.68,19.33,0,0,4.34,3.52,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Honduras ,47.49,14.33,4.9,15.72,2.49,7.21,0,0,2.46,0,0,0,0,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iceland ,48.05,13.89,12.1,19.57,2.14,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Myanmar ,9.32,1.75,2.91,38.69,2.52,38.27,0,0,2.07,2.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malta ,51.17,18.1,8.29,13.17,2.21,4.58,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauritius ,41.98,9.9,4.12,20.42,1.14,5.42,0,0,8.12,1.43,4.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ghana ,15.22,4.76,2.38,28.11,1.04,5.84,0,0,27.33,7.55,4.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zimbabwe ,9.27,7.59,1.66,10.36,0,2.76,0,0,52.86,3.61,8.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nicaragua ,44.76,10.49,2.6,20.64,1.67,4.42,0,0,5.14,1.53,3.47,0,0,1.1,0,0,0,0,0,0,0,0,0,0,0,1.66,0,0,0,0,0,0,0,0,0
Libya ,36.48,8.85,2.79,15.69,2.86,11.26,0,0,13.59,1.48,5.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brunei Darussalam ,29.52,5.07,9.2,13.22,4.18,13.61,0,0,19.19,1.03,3.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Senegal ,33.06,11.85,3.41,39.71,1.31,3.81,0,0,2.49,0,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luxembourg ,29.54,24.97,12.47,22.09,5.17,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mozambique ,8.78,7.44,1.46,6.21,0,4.2,0,0,39.61,5.03,17.54,2.44,0,0,0,0,0,0,0,0,0,0,1.39,0,0,1.44,0,0,0,0,0,0,0,0,0
Faroe Islands ,25.99,33.75,22.79,7.16,5.59,3.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zambia ,7.69,9.7,1.74,9.99,0,4.43,0,0,43.1,3.41,10.25,3.11,0,0,1.16,0,0,0,0,0,0,0,1.35,0,0,0,0,0,0,0,0,0,0,0,0
Barbados ,48.47,16.76,7.44,15.65,1.33,4.62,0,0,1.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cambodia ,24.25,5.6,6.36,27.48,8.92,12.4,1.01,0,3.29,4.3,4.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mongolia ,37.93,4.42,4.28,37.18,3.25,9.42,0,0,1.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Syrian Arab Republic ,24.72,7.61,1.48,30.41,1.83,16.28,0,0,4.75,4.65,6.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ethiopia ,11.95,6.82,0,25.88,0,1.54,0,0,29.47,10.51,9.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uganda ,11.62,5.61,1.59,24.33,0,5.03,0,0,35.39,4.33,7.48,0,0,0,0,0,0,0,0,0,0,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0
Bahamas ,40.92,22.98,12.58,9.42,3.12,6.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.12,0,0,0,0,0,0,0,0
Papua New Guinea ,2.35,2.59,0,1.22,0,14.73,0,0,43.29,2.63,20.13,2.03,0,0,0,0,0,0,0,0,0,0,0,0,0,7.66,0,0,0,0,0,0,0,0,0
Bermuda ,19.66,42.43,25.05,7.41,1.63,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malawi ,7.11,5.21,0,6.74,0,2.07,0,0,55.22,4.12,11.48,1.66,0,0,0,0,0,0,0,0,0,0,1.49,0,0,0,0,0,0,0,0,0,0,0,0
Maldives ,34.12,3.82,4.15,20.92,3.23,10.13,0,0,6.3,2.47,11.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Congo (Democratic Republic of the),3.6,2.63,0,4.93,0,5.56,0,0,38.67,4.41,9.12,13.32,0,0,1.39,0,0,0,0,0,0,3.05,3.69,0,0,2.04,0,1.79,1.06,0,0,0,0,0,0
Macao ,37.67,22.61,8.75,10.31,7.8,8.23,1.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cote dIvoire ,20.88,4.51,1.48,17.26,0,5.42,0,0,17.51,2.91,4.32,7.59,0,0,0,0,0,0,0,0,0,0,1.95,0,0,5.05,0,0,0,6.08,0,0,0,0,0
Reunion ,31.96,11.52,9.05,30.73,3.45,9.34,0,0,1.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Angola ,21.29,21.9,7.62,9.95,3.28,6.37,0,0,22.68,1.22,2.51,0,0,0,1.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cameroon ,13.29,6.23,2.21,41.79,0,4,0,0,17.17,4.18,2.89,1.36,0,0,0,0,0,0,0,0,0,0,1.08,0,0,1.06,0,0,0,0,0,0,0,0,0
Suriname ,37.54,20.27,7.01,13.91,2.5,9.26,0,0,2.03,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guam ,38.69,17.82,15.71,10.8,6.25,7.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0
Lao Peoples Democratic Republic ,23.22,9.35,5.63,17.45,8.84,9.7,0,0,9.77,3.8,8.22,0,0,0,2.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guyana ,46.3,14.55,4.16,20.6,1.37,3.95,0,0,2.92,0,0,0,0,3.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Martinique ,40.03,20.78,7.33,14.86,1.73,11.77,0,0,1.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands Antilles ,39.66,21.76,13.74,11.08,3.01,5.53,0,0,0,0,0,0,0,2.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guadeloupe ,37.66,20.38,8.53,20.36,1.66,7.87,0,0,1.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
