"Continent","IE","Firefox","Chrome","Safari","Android","iPhone","BlackBerry","Opera","Nokia","Maxthon","UC Browser","NetFront","Sony PS3","iPod Touch","Bolt","Mozilla","Windows Media Player","Camino"
Guam ,39.2,26.22,19.63,8.72,0,2.28,0,0,0,0,0,0,0,1.15,0,0,0,0
Cameroon ,26.51,62.09,6.25,0,0,0,0,2.93,0,0,0,0,0,0,0,0,0,0
Jersey ,48.27,16.86,13.72,16.68,0,1.57,0,0,0,0,0,0,0,0,0,0,0,0
Suriname ,57.47,23.08,10.64,1.71,0,0,0,4.04,0,0,0,0,0,0,0,0,0,0
Namibia ,53.43,20.49,12.54,2.79,0,0,0,6.14,2.33,0,0,0,0,0,0,0,0,0
Aruba ,49.84,24.56,15.98,7.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guernsey ,51.22,17.72,12.66,14.33,0,1.51,0,0,0,0,0,0,0,0,0,0,0,0
Guadeloupe ,38.74,30.66,18.23,8.68,0,0,0,1.33,0,0,0,0,0,0,0,0,0,0
Martinique ,42.49,30.19,17.82,5.21,0,0,0,1.74,0,0,0,0,0,0,0,0,0,0
Cuba ,31.85,59.13,4.72,0,0,0,0,2.29,0,0,0,0,0,0,0,1.01,0,0
 ,6.78,83.68,5.87,8.31,0,0,0,2.47,0,0,0,0,0,0,0,0,0,0
Afghanistan ,56.1,23.8,9.38,3,0,0,0,5.37,1.48,0,0,0,0,0,0,0,0,0
Uzbekistan ,19.13,23.26,9.81,1.31,0,0,0,43.81,1.35,0,0,0,0,0,0,0,0,0
Cayman Islands ,47.75,22.39,13.66,11.73,0,0,1.95,0,0,0,0,0,0,0,0,0,0,0
Haiti ,56.3,23.57,11.68,4.98,0,0,0,1.64,0,0,0,0,0,0,0,0,0,0
Guyana ,42.85,33.48,18.63,1.66,0,0,0,1.88,0,0,0,0,0,0,0,0,0,0
Fiji ,41.44,38.83,14.71,2.8,0,0,0,1.22,0,0,0,0,0,0,0,0,0,0
