"Continent","IE","Chrome","Firefox","Safari","Android","iPhone","Opera","BlackBerry","UC Browser","Nokia","NetFront","Dolfin","Maxthon","360 Safe Browser","QQ Browser","TheWorld","SeaMonkey","Flock","Comodo Dragon","iPod Touch","Sony PS3","Unknown","Obigo","Iron","Kindle"
Botswana ,32.45,20.8,32.14,3.34,0,0,5.3,0,0,2.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guernsey ,37.4,18.05,13.51,21.17,2.48,4.52,1.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grenada ,31.06,37.65,23.38,4.58,0,0,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Lucia ,28.56,36.89,25.08,4.83,0,0,2.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haiti ,34.82,24.28,21.8,6.69,0,1.35,5.41,0,0,0,1.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cayman Islands ,37.65,23.39,18.36,15.95,0,1.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,40,5.77,60,2.88,8.63,1.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.05
Kyrgyz Republic ,13.69,27.22,14.05,2.68,1.01,0,37.93,0,0,1.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
French Polynesia ,19.6,19.22,36.99,20.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malawi ,29.32,8.76,20.46,2.22,0,0,30.65,0,1.81,3.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belize ,25.2,27.18,35.92,5.52,1.5,1.48,1.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andorra ,34.87,27.78,21.02,11.89,1.82,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Vincent and the Grenadines ,22.4,42.15,27.79,3.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Caledonia ,24.37,25.77,32.84,12.66,1.34,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Somalia ,12.13,10.69,13.04,0,0,0,54.59,0,2.94,4.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cape Verde ,42.7,28.77,22.18,3.02,0,0,1.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda ,29.91,34.29,22.19,8.92,0,0,1.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Benin ,14.2,38.87,40.54,1.14,0,0,3.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rwanda ,25.1,16.78,42.39,3.73,0,0,8.37,0,0,1.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gabon ,42.38,14.62,27.26,4.61,0,0,6.27,0,0,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Kitts and Nevis ,29.82,35.36,22.45,8.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
French Guiana ,27.97,27.13,31.65,5.78,3.07,1.28,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tajikistan ,12.61,27.52,14.82,1.76,1.22,0,35.68,0,0,4.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Togo ,19.52,11.61,59.36,2.35,0,0,3.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dominica ,29.92,38.54,21.62,5.42,0,0,1.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Mariana Islands ,35.11,36.9,16.48,4.2,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gibraltar ,33.11,28.09,20.72,12.97,1.11,1.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Monaco ,32.73,17.37,20.76,22.73,0,1.89,2.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bhutan ,16.75,37.26,32.12,3.39,0,0,5.71,0,0,1.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
British Virgin Islands ,43.81,22.54,15.65,12.94,1.27,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
