"Continent","IE","Firefox","Safari","Chrome","Opera","iPhone","Maxthon","UC Browser","Nokia","Bolt","Mozilla","Windows Media Player"
American Samoa ,51.39,28.76,9.99,8.03,0,0,0,0,0,0,0,0
Turkmenistan ,44.62,15.8,0,3.03,33.6,0,0,0,1.68,0,0,0
Swaziland ,52.74,18.03,0,5.43,18.02,0,0,0,3.06,0,0,0
Sierra Leone ,65.09,27.99,0,4.17,1.05,0,0,0,0,0,0,0
Vanuatu ,53.07,32.32,2.61,10.07,0,0,0,0,0,0,0,1.06
Saint Pierre and Miquelon ,46.9,42.23,3.47,4.42,1.68,0,0,0,0,0,0,0
Samoa ,59.38,34.21,1.79,2.99,0,0,0,0,0,0,0,0
Falkland Islands (Malvinas) ,84.57,8.14,2.28,4.02,0,0,0,0,0,0,0,0
Guinea ,55.26,38.21,0,1.89,0,0,0,0,1.45,0,0,0
Solomon Islands ,69.15,19.25,3.72,6.04,1.17,0,0,0,0,0,0,0
Congo (Republic of the),61.76,23.34,2.05,6.1,2.13,0,0,0,3.08,0,0,0
Timor-Leste ,41.87,44.96,3.61,5.27,3.43,0,0,0,0,0,0,0
Micronesia ,54.78,33.95,4.73,5.33,0,0,0,0,0,0,0,0
Holy See (Vatican City State) ,65.92,26.61,1.17,4.72,0,0,0,0,0,0,1.29,0
Tonga ,41.13,47.96,5.11,4.74,0,0,0,0,0,0,0,0
Cook Islands ,60.4,27.25,4.18,6.92,0,0,0,0,0,0,0,0
Eritrea ,59.64,33.28,0,5.19,0,0,0,0,0,0,0,0
Montserrat ,56.7,17.48,2.77,21.35,0,0,0,0,0,0,0,0
Burundi ,49.58,39.5,2.38,3.18,3.19,0,0,0,0,0,0,0
Sao Tome and Principe ,64.47,28.42,0,3.08,1.7,0,0,0,1.49,0,0,0
Marshall Islands ,53.15,32.71,2.36,5.67,0,0,0,0,0,0,4.23,0
Palau ,51.81,27.44,3.32,12.03,0,0,0,0,2.01,0,0,1.95
Kiribati ,37.51,56.34,0,5.92,0,0,0,0,0,0,0,0
Central African Republic ,62.97,27.47,1.65,3.61,2.14,0,0,0,1.32,0,0,0
Mayotte ,44.12,44.78,5.6,4.54,0,0,0,0,0,0,0,0
Chad ,28.42,16.07,0,1.75,27.82,0,0,0,23.7,0,0,0
Guinea-Bissau ,81.25,12.06,3.19,2.79,0,0,0,0,0,0,0,0
Comoros ,70.05,23.22,0,2.84,3.19,0,0,0,0,0,0,0
Niue ,30.12,66.36,0,1.84,0,0,0,0,0,0,0,0
Tuvalu ,25.33,64.13,2.24,8.16,0,0,0,0,0,0,0,0
Wallis and Futuna ,19.68,43.3,33.15,3.7,0,0,0,0,0,0,0,0
Nauru ,20.88,75.41,0,3.71,0,0,0,0,0,0,0,0
Norfolk Island ,100,0,0,0,0,0,0,0,0,0,0,0
Bouvet Island (Bouvetoya) ,0,0,0,0,100,0,0,0,0,0,0,0
