"Continent","IE","Chrome","Firefox","Safari","iPhone","Android","Yandex Browser","Opera","BlackBerry","UC Browser","Nokia","NetFront","Sogou Explorer","Maxthon","360 Safe Browser","QQ Browser","IEMobile","iPod Touch","Silk","Obigo","Samsung","Openwave Mobile Browser","Unknown","Phantom","Midori","Iron","Sony PS3","Maemo browser"
Puerto Rico ,23.84,30.27,16.36,10.77,4.07,10.12,0,0,0,0,0,0,0,0,0,0,0,1.67,0,0,0,0,0,0,0,0,0,0
El Salvador ,18.2,46.91,22.52,2.92,1,2.58,0,3.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Moldova ,7,63.64,18.9,1.53,0,1.37,0,5.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Armenia ,3.61,72.09,15.31,1.96,0,0,1.02,3.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Latvia ,13.64,40.58,33.79,3.76,0,2.16,0,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belarus ,8.96,32.77,19.52,1.83,0,1.77,0,31.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Estonia ,18.27,38.25,32.18,4.99,0,2.4,0,2.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Palestinian Territory ,18.07,46.07,27.54,1.24,1.16,2.43,0,1.57,0,0,1.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trinidad and Tobago ,19.65,48.73,16.53,5.87,1.1,3.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kazakhstan ,11.72,42.09,18.47,3.37,1.38,3.13,1.19,16.17,0,0,1.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyprus ,24.74,39.05,21.14,6.85,1.79,3.44,0,1.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kuwait ,23.35,23.31,9.23,7.88,12.59,10.34,0,8.65,1.68,0,1.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Panama ,32.32,38.06,12.11,5.63,1.1,7.74,0,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nepal ,7.15,37.76,26.58,2.3,1.97,3.12,0,13.79,0,3.47,1.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Honduras ,22.17,44.96,18.93,4.02,1.69,2.82,0,2.03,1.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kenya ,10.57,17.08,35.71,3.33,0,3.71,0,22.15,0,1.58,3.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yemen ,8.96,34.37,32.48,1.38,3.5,6.7,0,8.92,0,1.05,1.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jamaica ,16.69,47.48,21.8,4.94,1.06,2.66,0,1.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lebanon ,19.77,30.36,14.89,7.95,6.04,13.71,0,2.81,0,0,2.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sudan ,10.15,9.64,20.99,0,0,4.81,0,33.66,0,1.96,14.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Myanmar ,2.89,5.78,44.66,2.75,3.12,34.83,0,2.27,0,1.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Syrian Arab Republic ,12.33,20.75,39.22,1.54,1.29,9,0,3.66,0,1.95,8.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nicaragua ,15.95,45.77,25.41,2.47,1.27,2.26,0,3.7,0,0,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iceland ,15.35,46,20.73,12.71,1.57,1.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Faroe Islands ,44.32,23.24,8.48,16.86,3.27,2.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malta ,22.6,46.71,14.55,8.34,2.12,3.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bahrain ,28.24,24.64,9.43,6.5,5.75,15.47,0,2.54,1.21,1.65,3.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ghana ,8.1,15.87,39.06,3.21,0,4.4,0,18.12,0,5.01,2.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oman ,22.5,24.93,9.86,3.21,2.19,15.54,0,1.57,1.79,7.08,10.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Libya ,14.7,39.01,19.72,2.79,1.37,5.84,0,9.47,0,0,5.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauritius ,14.23,40.24,27.63,4.37,0,3.93,0,4.24,0,1,2.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mongolia ,5.63,31.67,47.04,3.9,1.39,7.71,0,1.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zimbabwe ,16,9.72,18.5,1.97,0,1.51,0,45.16,0,1.75,3.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Senegal ,17.05,31.55,40.49,3.09,0,2.36,0,2.08,0,0,1.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cambodia ,7.26,20.54,32.56,6.81,9.69,10.57,0,4.64,0,2.42,3.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bermuda ,48.56,14.93,8.22,23.9,1.44,1.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brunei Darussalam ,8.8,25.94,19.36,9.68,3.61,11.45,0,15.96,0,0,3.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luxembourg ,26.26,22.07,26.46,14.23,5.1,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bahamas ,28.46,35.58,11.9,12.6,2.31,4.39,0,0,0,0,0,0,0,0,0,0,0,0,1.08,0,0,0,0,0,0,0,0,0
Barbados ,21.33,42.5,20.43,7.36,1.01,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tanzania ,19.04,13.03,29.46,3.72,1.08,4.52,0,17.43,0,3.69,6.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Reunion ,14.79,29.83,34.62,8.97,2.83,6.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zambia ,21.26,9.3,18.19,2.96,1.27,4.77,0,32.81,0,1.59,4.09,1.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uganda ,11.09,14.02,39.16,3.18,0,3.78,0,19.5,0,2.61,3.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Macao ,26.49,31.91,13.22,8.92,6.6,9.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ethiopia ,8.44,14.04,27.84,1.35,1.37,1.53,0,27.34,0,8.25,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maldives ,7.39,37.45,34.65,5.3,2.15,4.99,0,2.52,0,1.41,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cameroon ,9.36,14.34,59.63,2.04,0,1.37,0,9.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cote dIvoire ,12.4,31.9,34.91,3.12,0,3.66,0,6.38,0,1.85,1.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Suriname ,33.1,30.27,20.05,5.6,1.66,5.06,0,1.29,1.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lao Peoples Democratic Republic ,13.46,20.62,20.55,5.16,5.1,4.58,0,16.75,0,1.99,10.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Isle of Man ,38.71,21.52,13.25,19.04,3.17,2.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Angola ,28.77,19.34,12.82,7.73,2.08,6.17,0,18.14,0,0,2.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guadeloupe ,22.35,35.12,21.33,11.11,1.49,6.06,0,1.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands Antilles ,30.89,33.9,13.35,12.64,2.2,3.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guam ,20.82,30.98,12.73,17.41,5.71,7.58,0,0,0,0,0,0,0,0,0,0,0,2.36,0,0,0,0,0,0,0,0,0,0
Uzbekistan ,6.18,25.3,14.2,2.23,2.33,4.04,0,36.88,0,1.51,5.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cuba ,14.46,9.57,72.8,0,0,0,0,1.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Martinique ,26.87,34.81,18.9,7.83,1.47,7.55,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guyana ,20.73,43.23,26.17,3.55,0,1.78,0,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madagascar ,8.22,24.5,50.02,3.45,0,2.83,0,7.06,0,1.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Togo ,9.25,12.04,70.73,1.64,0,1.36,0,2.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kyrgyz Republic ,11.29,41.58,11.17,3.1,1.48,3.77,0,22.8,0,0,2.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mozambique ,24.45,18.31,17.15,5.23,1.2,3.51,0,18.99,0,3.16,6.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grenada ,23.63,45.61,18.29,7.33,0,1.2,0,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Namibia ,33.92,21.5,16.91,5.42,1.8,4.88,0,9.8,0,0,3.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Lucia ,23.7,42.73,20.88,6.08,0,2.04,0,1.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aruba ,32.33,31.38,11.77,13.23,3.81,4.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Afghanistan ,19.55,16.95,22.79,3.61,4.05,5.02,0,12.03,0,4.99,9.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fiji ,20.61,22.77,31.92,5.75,1.71,5.9,0,7.47,0,0,1.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Botswana ,30.52,23.83,24.03,4.74,0,2.51,0,4.84,0,3.47,3.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jersey ,26.93,23.47,12.13,28.31,4.33,2.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malawi ,21.28,13.07,21.58,2.79,0,2.58,0,30.98,0,2.6,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haiti ,28.64,28.7,19.2,8.93,2.12,3.3,0,4.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cayman Islands ,31.28,27.6,14.97,18.5,3.45,1.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,1.92,2.88,100,10.13,1.61,3.57,0,1.72,1.5,0,0,0,0,0,0,0,0,2.42,1.75,0,0,0,0,0,0,0,1.96,0
Guernsey ,28.23,20.28,11.89,25.43,6.94,4.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
French Guiana ,21.57,34.34,23.67,7.34,1.78,8.82,0,1.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauritania ,11.46,38.18,25.94,2.41,1.1,2.06,0,8.71,0,1.69,6.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andorra ,28,33.1,15.06,13.92,2.68,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
French Polynesia ,17.25,27.36,32.19,16.47,1.79,2.62,0,0,0,0,0,0,0,0,0,0,0,1.06,0,0,0,0,0,0,0,0,0,0
Rwanda ,12.58,22.35,41.16,4.06,0,3.52,0,11,0,1.57,1.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belize ,22.17,30.78,26.15,7.47,4.69,4.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda ,22.99,36.15,18.02,11.77,1.86,4.43,0,1.26,0,0,0,0,0,0,0,0,0,0,1.21,0,0,0,0,0,0,0,0,0
Northern Mariana Islands ,28.52,41.27,13.26,6.11,1.27,8.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Caledonia ,22.69,28.99,26.39,14.13,1.56,4.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Papua New Guinea ,17.81,7.76,8.21,2.27,0,7.42,0,34.26,0,4.59,11.95,0,0,0,0,0,0,0,0,1.83,0,0,0,0,0,0,0,0
Saint Vincent and the Grenadines ,18.71,42.4,23.81,6.4,0,2.84,0,1.03,1.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Kitts and Nevis ,19.63,43.54,15.8,13.99,1.46,2.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dominica ,21.77,45.3,17.46,8.14,1.29,1.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chad ,1.44,0,1.41,0,0,0,0,4.49,0,0,41.9,6.55,0,0,0,0,0,0,0,3.27,18.96,14.8,1.86,1.81,0,0,0,0
