"Continent","IE","Firefox","Chrome","Safari","Android","iPhone","BlackBerry","Opera","Nokia","Maxthon","UC Browser","NetFront","Unknown","iPod Touch","Bolt","Sony PS3","Obigo","SonyEricsson","Windows Media Player","IEMobile"
Kazakhstan ,19.24,30.27,15.1,1.33,0,0,0,33.02,0,0,0,0,0,0,0,0,0,0,0,0
Nepal ,25.39,35.38,23.58,1.4,0,0,0,11.98,0,0,0,0,0,0,0,0,0,0,0,0
Sudan ,37.51,25.31,6.09,0,0,0,0,19.78,8.95,0,0,0,0,0,0,0,0,0,0,0
Jamaica ,27.92,31.17,33.18,3.34,0,0,0,1.98,0,0,0,0,0,0,0,0,0,0,0,0
Iceland ,26.54,30.82,29.64,9.81,0,0,0,1.75,0,0,0,0,0,0,0,0,0,0,0,0
Ghana ,19.33,50.61,9.96,2.23,0,0,0,13.64,1.28,0,0,0,0,0,0,0,0,0,0,0
Brunei Darussalam ,15.65,27.41,20.73,6.74,2.12,1.86,0,6.58,15.41,0,0,0,0,0,0,0,0,0,0,0
Malta ,38.49,22.66,31.92,3.88,0,0,0,1.2,0,0,0,0,0,0,0,0,0,0,0,0
Azerbaijan ,29.42,15.5,21.03,1.37,0,0,0,30.99,0,0,0,0,0,0,0,0,0,0,0,0
Yemen ,39.96,31.11,21.2,0,0,0,0,4.48,1.42,0,0,0,0,0,0,0,0,0,0,0
Senegal ,22.85,57.59,15.34,1.96,0,0,0,1.05,0,0,0,0,0,0,0,0,0,0,0,0
Luxembourg ,33.92,35.37,12.87,12.5,0,2.43,0,1.26,0,0,0,0,0,0,0,0,0,0,0,0
Macao ,55.33,19.12,14.28,5.1,1.08,2.01,0,0,0,1.21,0,0,0,0,0,0,0,0,0,0
Bermuda ,63.3,12.67,8.13,14.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lao Peoples Democratic Republic ,45.81,24.94,9.44,1.76,0,0,0,9.27,6.55,0,0,0,0,0,0,0,0,0,0,0
Cambodia ,26.87,41.29,12.34,3.28,1.06,1.99,0,5.98,4.45,0,0,1.45,0,0,0,0,0,0,0,0
Mauritius ,25.37,38.23,26.79,2.64,0,0,0,4.5,1.23,0,0,0,0,0,0,0,0,0,0,0
Angola ,61.01,17.71,12.77,4.04,0,0,0,2.6,0,0,0,0,0,0,0,0,0,0,0,0
Faroe Islands ,56.75,13.59,19.12,7.11,0,1.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bahamas ,44.5,16.74,26.41,8.25,0,0,0,1.04,0,0,0,0,0,0,0,1.03,0,0,0,0
Netherlands Antilles ,52.23,18.7,19.4,6.23,0,0,0,1.1,0,0,0,0,0,0,0,0,0,0,0,0
Barbados ,36.93,28.75,27.51,3.28,0,0,0,1.34,0,0,0,0,0,0,0,0,0,0,0,0
Reunion ,25.31,45.38,17.9,7.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uganda ,30.41,47.96,10.5,2.34,0,0,0,5.79,1.38,0,0,0,0,0,0,0,0,0,0,0
Mozambique ,46.77,26.54,12.37,2.35,0,0,0,7.67,3.07,0,0,0,0,0,0,0,0,0,0,0
Tanzania ,41.56,27.42,9.19,3.09,0,0,0,13.78,2.9,0,0,0,0,0,0,0,0,0,0,0
Maldives ,17.3,50.76,20.55,3.23,0,0,0,2.61,3.01,0,0,0,0,0,0,0,0,0,0,0
Isle of Man ,51.35,17.03,16.38,10.72,0,1.53,0,1.03,0,0,0,0,0,0,0,0,0,0,0,0
Cameroon ,22.76,65.15,7.25,1.23,0,0,0,2.66,0,0,0,0,0,0,0,0,0,0,0,0
Ethiopia ,29.65,36.82,10.02,1.16,0,0,0,16.04,4.4,0,0,0,0,0,0,0,0,0,0,0
Guam ,36.12,22.87,25.28,9.18,1.07,2.02,0,0,0,0,0,0,0,1.38,0,0,0,0,0,0
Suriname ,53.61,22.44,15.24,1.7,0,0,0,3.29,0,0,0,0,0,0,0,0,0,0,0,0
Cote dIvoire ,30.89,43.43,18.33,1.67,0,0,0,3.19,1.28,0,0,0,0,0,0,0,0,0,0,0
Namibia ,53.53,20.58,12.34,2.8,0,0,0,5.94,2.12,0,0,0,0,0,0,0,0,0,0,0
Botswana ,47.6,24.32,18.27,2.57,0,0,0,3.15,2.16,0,0,0,0,0,0,0,0,0,0,0
Martinique ,38.57,29.41,22.5,5.02,1.04,0,0,1.31,0,0,0,0,0,0,0,0,0,0,0,0
Guadeloupe ,36.29,28.35,23.11,8.36,0,0,0,1.53,0,0,0,0,0,0,0,0,0,0,0,0
Jersey ,44.14,16.18,15.79,18.84,1.22,1.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aruba ,46.56,22.39,21.16,6.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Afghanistan ,51.7,27.58,10.38,3.64,0,0,0,4.67,0,0,0,0,0,0,0,0,0,0,0,0
Cuba ,26.25,64.7,4.4,0,0,0,0,2.25,0,0,0,0,0,0,0,0,0,0,0,0
Guernsey ,46.15,15.71,15.47,15.52,1,2.18,0,1.37,0,0,0,0,0,1.01,0,0,0,0,0,0
Haiti ,51.8,23.13,17.35,4.15,0,0,0,1.87,0,0,0,0,0,0,0,0,0,0,0,0
Uzbekistan ,16.93,20.54,11.4,1.86,0,0,0,45.82,1.49,0,0,0,0,0,0,0,0,0,0,0
French Polynesia ,30.02,39.93,16.45,11.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fiji ,37.74,39.56,16.83,3.24,0,0,0,1.12,0,0,0,0,0,0,0,0,0,0,0,0
Madagascar ,18.45,55.77,16.76,2.47,0,0,0,4.24,0,0,0,0,0,0,0,0,0,0,0,0
 ,58.17,25.76,1.43,73.23,1.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zimbabwe ,29.93,26.87,9.42,2.5,0,0,0,26.36,2.48,0,0,0,0,0,0,0,0,0,0,0
Cayman Islands ,41.29,24.04,17.85,11.57,0,0,2.18,1.18,0,0,0,0,0,0,0,0,0,0,0,0
Saint Lucia ,37.51,28.61,26.89,3.83,0,0,0,1.88,0,0,0,0,0,0,0,0,0,0,0,0
Guyana ,39.06,32.84,22.69,1.9,0,0,0,1.66,0,0,0,0,0,0,0,0,0,0,0,0
Zambia ,34.2,28.09,9.2,2.99,0,0,0,22.08,1.36,0,0,0,0,0,0,0,0,0,0,0
Cape Verde ,57.12,22.17,17.16,1.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grenada ,38.54,23.99,31.45,3.34,0,0,0,1.52,0,0,0,0,0,0,0,0,0,0,0,0
Belize ,34.89,40.4,16.75,4.16,0,0,0,1.13,0,0,0,0,0,0,0,0,0,0,0,0
Malawi ,41.25,22.42,6.76,2.06,0,0,0,22.31,2.96,0,0,0,0,0,0,0,0,0,0,0
Saint Vincent and the Grenadines ,29.07,20.76,44.63,2.93,0,0,0,1.11,0,0,0,0,0,0,0,0,0,0,0,0
Andorra ,44.76,21.23,22.14,9.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
French Guiana ,34.73,36.34,22.65,3.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Caledonia ,33.44,32.81,19.83,11.2,0,0,0,1.15,0,0,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda ,37.77,26.67,22.07,8.52,0,0,0,2.08,0,0,0,0,0,1.47,0,0,0,0,0,0
Saint Kitts and Nevis ,37.1,27.58,26.73,6.38,0,0,0,1.08,0,0,0,0,0,0,0,0,0,0,0,0
Djibouti ,51.08,26.41,15.85,2.34,0,0,0,2.19,0,0,0,0,0,0,0,0,0,0,0,0
Northern Mariana Islands ,42.16,19.77,30.03,2.75,1.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gibraltar ,44.54,23.47,21.43,7.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kyrgyz Republic ,23.69,18.64,13.01,2.81,0,0,0,39.89,0,0,0,0,0,0,0,0,0,0,0,0
Rwanda ,26.52,48.43,12.76,3.47,0,0,0,6.67,1,0,0,0,0,0,0,0,0,0,0,0
Monaco ,41.26,22.05,11.96,20.66,0,0,0,1.86,0,0,0,0,0,0,0,0,0,0,0,0
Benin ,36.42,39.95,13.79,1.79,0,0,0,6.88,0,0,0,0,0,0,0,0,0,0,0,0
Liechtenstein ,45.39,32.06,7.73,11.13,0,1.06,0,1.09,0,0,0,0,0,0,0,0,0,0,0,0
Dominica ,35.58,25.2,29.96,6.16,0,0,0,1.93,0,0,0,0,0,0,0,0,0,0,0,0
British Virgin Islands ,53.36,17.74,17.01,9.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Papua New Guinea ,49.01,14.5,9.3,2.71,0,0,0,14.75,4.63,0,0,0,0,0,0,0,2.21,0,0,0
Mali ,45.53,32.98,10.55,2.59,0,0,0,3.86,2.05,0,0,0,0,0,0,0,0,0,0,0
Mauritania ,31.75,28.67,26.55,0,0,0,0,5.8,4.41,0,0,0,0,0,0,0,0,0,0,0
Congo (Democratic Republic of the),44.35,33.7,10.84,2.42,0,0,0,5,2.13,0,0,0,0,0,0,0,0,0,0,0
Burkina Faso ,45.4,37.32,9.7,1.68,0,0,0,4.6,0,0,0,0,0,0,0,0,0,0,0,0
Seychelles ,44.52,29.86,13.34,5.41,0,0,0,3.89,1.21,0,0,0,0,0,0,0,0,0,0,0
Turks and Caicos Islands ,47.39,18.66,20.63,9.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lesotho ,57.7,20.76,8.15,1.79,0,0,0,8.78,1.32,0,0,0,0,0,0,0,0,0,0,0
Bhutan ,33.68,33.19,24.25,2.56,0,0,0,4.43,0,0,0,0,0,0,0,0,0,0,0,0
Gambia ,25.3,55.16,7.66,2.32,0,0,0,6.37,1.38,0,0,0,0,0,0,0,0,0,0,0
Gabon ,43.87,29.73,11.9,4.54,0,0,0,6.43,1.32,0,0,0,0,0,0,0,0,0,0,0
Togo ,36.72,50.58,5.85,1.1,0,0,0,2.97,0,0,0,0,0,0,0,0,0,0,0,0
Greenland ,57.41,18.94,9.19,10.27,0,0,0,1.47,0,0,0,0,0,0,0,0,0,0,0,0
San Marino ,40.76,30.54,16.23,10.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Swaziland ,54.58,16.76,8.56,2.65,0,0,0,14.5,1.79,0,0,0,0,0,0,0,0,0,0,0
Anguilla ,58.71,15.7,16.43,5.61,0,0,1.31,0,0,0,0,0,0,0,0,0,0,0,0,0
Tajikistan ,27.46,19.87,14.96,1.77,0,0,0,33.26,0,0,0,0,0,0,0,0,0,0,0,0
Niger ,42.84,26.41,8.59,2.55,0,0,0,12.05,4.49,0,0,0,0,0,0,0,0,0,0,0
Timor-Leste ,26.96,45.62,11.47,6.36,0,0,0,2.49,5.12,0,0,0,0,0,0,0,0,1,0,0
Libya ,50.07,20.91,23.88,2.3,0,0,0,1.24,0,0,0,0,0,0,0,0,0,0,0,0
Sierra Leone ,42.52,34.25,5.87,2.42,0,0,0,11.6,1.44,0,0,0,0,0,0,0,0,0,0,0
Somalia ,52.25,17.55,6.27,0,0,0,0,21.8,1.35,0,0,0,0,0,0,0,0,0,0,0
Liberia ,56.96,22.02,9.89,6.61,0,0,0,1.88,1.53,0,0,0,0,0,0,0,0,0,0,0
American Samoa ,32.93,35.63,19.27,10.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Turkmenistan ,30.54,18.5,16.94,1.54,0,1.44,0,26.12,2.45,0,0,0,0,0,0,0,0,0,0,0
Equatorial Guinea ,56.95,19.57,10.95,0,0,0,0,8.03,1.84,0,0,0,0,0,0,0,0,0,0,0
Solomon Islands ,51.39,17.64,11.89,4.84,0,0,0,9.56,2.72,0,0,0,0,0,0,0,0,0,0,0
Vanuatu ,43.77,31.63,15.1,6.42,0,0,0,0,1.19,0,0,0,0,0,0,0,0,0,0,0
