"Continent","IE","Firefox","Chrome","Safari","Android","iPhone","Opera","Nokia","BlackBerry","UC Browser","NetFront","Maxthon","TheWorld","iPod Touch","Sony PS3","Samsung","Obigo","Chromium","Epiphany","Windows Media Player","AppleWebKit"
Mauritius ,22.87,33.09,33.24,2.84,0,0,4.08,1.99,0,0,0,0,0,0,0,0,0,0,0,0,0
Bermuda ,58.81,11.2,10.62,17.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Macao ,45.69,17.85,20.59,7.1,2.45,2.96,0,0,0,0,0,1.02,0,0,0,0,0,0,0,0,0
Angola ,52.73,16.42,16.65,6.42,0,0,3.96,1.03,0,0,0,0,0,0,0,0,0,0,0,0,0
Ethiopia ,17.08,37.31,10.91,1.04,0,0,22.95,7.05,0,1.29,0,0,0,0,0,0,0,0,0,0,0
Bahamas ,38.34,14.96,31.94,9.06,0,0,1.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barbados ,29.7,27.11,34.47,4.3,0,0,1.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zimbabwe ,16.75,14.3,6.95,2.04,0,0,50.06,4.78,0,0,0,0,0,0,0,1.06,0,0,0,0,0
Lao Peoples Democratic Republic ,31.27,23.74,11.38,2.46,0,1.03,17.22,10.48,0,0,0,0,0,0,0,0,0,0,0,0,0
Uzbekistan ,9.08,13.62,12.36,1.11,0,0,54.61,7.18,0,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands Antilles ,47.44,17.94,22.59,7.94,0,0,1.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uganda ,21.62,47.73,12.36,2.28,1.23,0,10.16,2.14,0,0,0,0,0,0,0,0,0,0,0,0,0
Reunion ,21.93,41.18,22.01,8.52,1.85,1.56,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maldives ,13.91,43.32,27.89,3.9,0,1.03,2.47,4.84,0,0,0,0,0,0,0,0,0,0,0,0,0
Cameroon ,16.19,65.6,10.29,1.26,0,0,4.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tanzania ,28.76,26.26,10.19,3.41,0,0,21.6,5.86,0,0,0,0,0,0,0,0,0,0,0,0,0
Suriname ,48.72,22.84,19.61,2.68,0,0,2.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cote dIvoire ,23.77,36.59,24.66,1.71,0,0,7.96,2.05,0,0,0,0,0,0,0,0,0,0,0,0,0
Guernsey ,53.03,12.46,13.67,14.36,1.32,2.42,1.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Isle of Man ,45.05,17.37,20.37,11.86,1.09,1.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mozambique ,38.58,22.74,14.89,3.14,0,0,10.59,7.65,0,0,0,0,0,0,0,0,0,0,0,0,0
Guam ,28.26,21.46,30.13,12.23,2.23,2.54,0,0,0,0,0,0,0,1.48,0,0,0,0,0,0,0
Aruba ,44.81,20.18,22.27,8.77,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cuba ,22.6,68.15,4.99,0,0,0,2.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zambia ,24.76,21.97,8.31,2.58,0,0,35.76,2.74,0,0,0,0,0,0,0,0,0,0,0,0,0
Guadeloupe ,32.13,28.05,25.04,9.1,1.18,0,1.32,0,1.3,0,0,0,0,0,0,0,0,0,0,0,0
Namibia ,46.78,16.82,15.67,5.08,1.08,1.09,6.93,4.05,0,0,0,0,0,0,0,0,0,0,0,0,0
Botswana ,40.15,24,19.46,2.61,0,0,5.33,4.29,0,0,0,0,0,0,0,0,0,0,0,0,0
