"Continent","Chrome","IE","Safari","Firefox","iPhone","Android","360 Safe Browser","Yandex Browser","Opera","IEMobile","UC Browser","Nokia","NetFront","Unknown","BlackBerry","Sogou Explorer","QQ Browser","Maxthon","CoRom+","Puffin","iPod Touch","Chromium","SonyEricsson","Obigo","Silk","Phantom","Openwave Mobile Browser","Iron","Midori","Kindle","Iceweasel"
Mongolia ,42.03,3.56,4.5,34.32,4.07,8.69,0,0,1.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luxembourg ,30.03,17.71,15.07,22.7,7.7,3.99,0,0,1.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ethiopia ,12.41,5.4,0,27.51,1.52,2.46,0,0,28.47,0,12.79,6.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bahamas ,40.65,22.99,12.92,9.42,3.27,6.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.01,0,0,0,0,0,0
Uganda ,13.86,6.37,2.07,27.22,0,5.93,0,0,31.91,0,3.77,5.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Reunion ,36.05,9.82,7.4,24.26,4.73,13.85,0,0,1.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bermuda ,20.94,41.32,24.86,7.34,1.84,1.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cote dIvoire ,27.96,5.3,1.87,22.71,1.02,11.45,0,0,15.21,0,2.63,1.86,2.16,0,0,0,0,0,0,0,0,0,0,1.83,0,2.43,0,0,0,0,0
Macao ,40.61,19.08,9.78,9.21,8.81,7.94,1.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maldives ,39.8,3.59,4.16,18.77,5.11,13.42,0,0,4.47,0,2.47,6.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cameroon ,14.93,6.52,2.31,45.04,0,4.39,0,0,17.17,0,3.27,1.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Congo (Democratic Republic of the),7.54,4.44,1.65,9.58,1.18,12.45,0,0,38.34,3.02,5.56,5.21,4.28,0,0,0,0,0,0,0,0,0,1.15,0,0,0,1.81,0,0,0,0
